street_name,number,url,m2,price,price/m2,city,country,full_address,lat,lon,neighborhood
Jasper Leijnsenstraat,7-2,https://www.funda.nl/detail/koop/amsterdam/appartement-jasper-leijnsenstraat-7-2/43946363/,48,425000.0,8854.17,Amsterdam,Netherlands,"Jasper Leijnsenstraat 7-2, Amsterdam, Netherlands",52.3765277,4.8622542,erasmusbuurt
Burgemeester Hogguerstraat,207,https://www.funda.nl/detail/koop/amsterdam/appartement-burgemeester-hogguerstraat-207/43946169/,44,300000.0,6818.18,Amsterdam,Netherlands,"Burgemeester Hogguerstraat 207, Amsterdam, Netherlands",52.3718518,4.8305034,Unknown
Granidastraat,76-2,https://www.funda.nl/detail/koop/amsterdam/appartement-granidastraat-76-2/43945851/,50,400000.0,8000.0,Amsterdam,Netherlands,"Granidastraat 76-2, Amsterdam, Netherlands",52.3811921,4.8482314,bos en lommer
Postjeskade,135-1,https://www.funda.nl/detail/koop/amsterdam/appartement-postjeskade-135-1/43933181/,59,495000.0,8389.83,Amsterdam,Netherlands,"Postjeskade 135-1, Amsterdam, Netherlands",52.3620844,4.850225,baarsjes
Tweede Keucheniusstraat,15-2,https://www.funda.nl/detail/koop/amsterdam/appartement-tweede-keucheniusstraat-15-2/43931054/,44,385000.0,8750.0,Amsterdam,Netherlands,"Tweede Keucheniusstraat 15-2, Amsterdam, Netherlands",52.380421,4.8687733,staatsliedenbuurt
Baetostraat,14-3,https://www.funda.nl/detail/koop/amsterdam/appartement-baetostraat-14-3/43939815/,59,415000.0,7033.9,Amsterdam,Netherlands,"Baetostraat 14-3, Amsterdam, Netherlands",52.379341,4.8482541,bos en lommer
Bos En Lommerweg,140-3,https://www.funda.nl/detail/koop/amsterdam/appartement-bos-en-lommerweg-140-3/43937100/,58,425000.0,7327.59,Amsterdam,Netherlands,"Bos En Lommerweg 140-3, Amsterdam, Netherlands",52.3811782,4.8549727,bos en lommer
Houtmankade,41-2,https://www.funda.nl/detail/koop/amsterdam/appartement-houtmankade-41-2/43935637/,58,475000.0,8189.66,Amsterdam,Netherlands,"Houtmankade 41-2, Amsterdam, Netherlands",52.3889678,4.8853463,houthavens
Esmoreitstraat,27-3,https://www.funda.nl/detail/koop/amsterdam/appartement-esmoreitstraat-27-3/43924449/,52,425000.0,8173.08,Amsterdam,Netherlands,"Esmoreitstraat 27-3, Amsterdam, Netherlands",52.3775036,4.8514038,bos en lommer
De Clercqstraat,38-2,https://www.funda.nl/detail/koop/amsterdam/appartement-de-clercqstraat-38-2/43923670/,62,450000.0,7258.06,Amsterdam,Netherlands,"De Clercqstraat 38-2, Amsterdam, Netherlands",52.3712731,4.8711265,amsterdam-west
Geuzenkade,78-1,https://www.funda.nl/detail/koop/amsterdam/appartement-geuzenkade-78-1/43927128/,49,420000.0,8571.43,Amsterdam,Netherlands,"Geuzenkade 78-1, Amsterdam, Netherlands",52.3745497,4.8641278,erasmusbuurt
Van Boetzelaerstraat,42-1,https://www.funda.nl/detail/koop/amsterdam/appartement-van-boetzelaerstraat-42-1/43926893/,53,450000.0,8490.57,Amsterdam,Netherlands,"Van Boetzelaerstraat 42-1, Amsterdam, Netherlands",52.3826169,4.8735356,staatsliedenbuurt
Eerste Keucheniusstraat,10-1,https://www.funda.nl/detail/koop/amsterdam/appartement-eerste-keucheniusstraat-10-1/43914960/,35,315000.0,9000.0,Amsterdam,Netherlands,"Eerste Keucheniusstraat 10-1, Amsterdam, Netherlands",52.3813461,4.8727278,staatsliedenbuurt
Warmondstraat,43-3,https://www.funda.nl/detail/koop/amsterdam/appartement-warmondstraat-43-3/43914737/,51,450000.0,8823.53,Amsterdam,Netherlands,"Warmondstraat 43-3, Amsterdam, Netherlands",52.3570661,4.8495669,hoofddroppleinbuurt
Karel Doormanstraat,142-2,https://www.funda.nl/detail/koop/amsterdam/appartement-karel-doormanstraat-142-2/43919224/,52,450000.0,8653.85,Amsterdam,Netherlands,"Karel Doormanstraat 142-2, Amsterdam, Netherlands",52.3793904,4.8572265,bos en lommer
Visseringstraat,3-1,https://www.funda.nl/detail/koop/amsterdam/appartement-visseringstraat-3-1/43917539/,31,300000.0,9677.42,Amsterdam,Netherlands,"Visseringstraat 3-1, Amsterdam, Netherlands",52.3782764,4.8695471,staatsliedenbuurt
Haarlemmerweg,485-h,https://www.funda.nl/detail/koop/amsterdam/appartement-haarlemmerweg-485-h/43907582/,51,425000.0,8333.33,Amsterdam,Netherlands,"Haarlemmerweg 485-h, Amsterdam, Netherlands",52.3848843,4.8578071,bos en lommer
Brouwersgracht,30-2,https://www.funda.nl/detail/koop/amsterdam/appartement-brouwersgracht-30-2/43981162/,52,495000.0,9519.23,Amsterdam,Netherlands,"Brouwersgracht 30-2, Amsterdam, Netherlands",52.3792039,4.8930791,centrum
Vondelstraat,9-a4,https://www.funda.nl/detail/koop/amsterdam/appartement-vondelstraat-9-a4/43959978/,20,395000.0,19750.0,Amsterdam,Netherlands,"Vondelstraat 9-a4, Amsterdam, Netherlands",52.3626243,4.8789342,Unknown
Burgemeester Roellstraat,20-3,https://www.funda.nl/detail/koop/amsterdam/appartement-burgemeester-roellstraat-20-3/43959452/,70,350000.0,5000.0,Amsterdam,Netherlands,"Burgemeester Roellstraat 20-3, Amsterdam, Netherlands",52.3736234,4.8342849,slotervaart
Tweede Egelantiersdwarsstraat,13-2,https://www.funda.nl/detail/koop/amsterdam/appartement-tweede-egelantiersdwarsstraat-13-2/43061428/,30,325000.0,10833.33,Amsterdam,Netherlands,"Tweede Egelantiersdwarsstraat 13-2, Amsterdam, Netherlands",52.3765878,4.8822702,jordaan
Nassaukade,159-3b,https://www.funda.nl/detail/koop/amsterdam/appartement-nassaukade-159-3b/43068199/,38,425000.0,11184.21,Amsterdam,Netherlands,"Nassaukade 159-3b, Amsterdam, Netherlands",52.3711506,4.8741017,amsterdam-west
Nassaukade,159-3a,https://www.funda.nl/detail/koop/amsterdam/appartement-nassaukade-159-3a/43068197/,34,425000.0,12500.0,Amsterdam,Netherlands,"Nassaukade 159-3a, Amsterdam, Netherlands",52.3711602,4.8740977,amsterdam-west
Brouwersgracht,182-l,https://www.funda.nl/detail/koop/amsterdam/appartement-brouwersgracht-182-l/43067932/,62,450000.0,7258.06,Amsterdam,Netherlands,"Brouwersgracht 182-l, Amsterdam, Netherlands",52.3812402,4.8876823,jordaan
Revaleiland,22,https://www.funda.nl/detail/koop/amsterdam/appartement-revaleiland-22/43065108/,61,480000.0,7868.85,Amsterdam,Netherlands,"Revaleiland 22, Amsterdam, Netherlands",52.3927949,4.8791207,houthavens
Charlotte De Bourbonstraat,1-3,https://www.funda.nl/detail/koop/amsterdam/appartement-charlotte-de-bourbonstraat-1-3/43054063/,48,395000.0,8229.17,Amsterdam,Netherlands,"Charlotte De Bourbonstraat 1-3, Amsterdam, Netherlands",52.3809283,4.8595434,bos en lommer
Antillenstraat,38-h,https://www.funda.nl/detail/koop/amsterdam/appartement-antillenstraat-38-h/43053755/,61,500000.0,8196.72,Amsterdam,Netherlands,"Antillenstraat 38-h, Amsterdam, Netherlands",52.3598845,4.8505896,baarsjes
Marco Polostraat,276-2,https://www.funda.nl/detail/koop/amsterdam/appartement-marco-polostraat-276-2/43050653/,51,475000.0,9313.73,Amsterdam,Netherlands,"Marco Polostraat 276-2, Amsterdam, Netherlands",52.3724511,4.8550631,erasmusbuurt
Planciusstraat,19-c6,https://www.funda.nl/detail/koop/amsterdam/appartement-planciusstraat-19-c6/43058834/,40,390000.0,9750.0,Amsterdam,Netherlands,"Planciusstraat 19-c6, Amsterdam, Netherlands",52.3872055,4.8853756,houthavens
Van Spilbergenstraat,7-3,https://www.funda.nl/detail/koop/amsterdam/appartement-van-spilbergenstraat-7-3/43943912/,48,400000.0,8333.33,Amsterdam,Netherlands,"Van Spilbergenstraat 7-3, Amsterdam, Netherlands",52.3646359,4.8520143,baarsjes
Reinier Claeszenstraat,76-1,https://www.funda.nl/detail/koop/amsterdam/appartement-reinier-claeszenstraat-76-1/43945463/,53,425000.0,8018.87,Amsterdam,Netherlands,"Reinier Claeszenstraat 76-1, Amsterdam, Netherlands",52.3736513,4.8621853,erasmusbuurt
Jan Evertsenstraat,100-2,https://www.funda.nl/detail/koop/amsterdam/appartement-jan-evertsenstraat-100-2/43934499/,58,400000.0,6896.55,Amsterdam,Netherlands,"Jan Evertsenstraat 100-2, Amsterdam, Netherlands",52.3706901,4.8531456,erasmusbuurt
Bonairestraat,76-h,https://www.funda.nl/detail/koop/amsterdam/appartement-bonairestraat-76-h/43063277/,58,500000.0,8620.69,Amsterdam,Netherlands,"Bonairestraat 76-h, Amsterdam, Netherlands",52.361991,4.855409,baarsjes
Elisabeth Wolffstraat,48-2,https://www.funda.nl/detail/koop/amsterdam/appartement-elisabeth-wolffstraat-48-2/43069144/,47,425000.0,9042.55,Amsterdam,Netherlands,"Elisabeth Wolffstraat 48-2, Amsterdam, Netherlands",52.3698087,4.867223,amsterdam-west
Willem De Zwijgerlaan,334-d12,https://www.funda.nl/detail/koop/amsterdam/appartement-willem-de-zwijgerlaan-334-d12/43056992/,53,395000.0,7452.83,Amsterdam,Netherlands,"Willem De Zwijgerlaan 334-d12, Amsterdam, Netherlands",52.3810259,4.8610594,bos en lommer
Hoofdweg,253-2,https://www.funda.nl/detail/koop/amsterdam/appartement-hoofdweg-253-2/43051913/,58,450000.0,7758.62,Amsterdam,Netherlands,"Hoofdweg 253-2, Amsterdam, Netherlands",52.3674403,4.8520541,baarsjes
Jan Maijenstraat,10-2,https://www.funda.nl/detail/koop/amsterdam/appartement-jan-maijenstraat-10-2/43920308/,66,500000.0,7575.76,Amsterdam,Netherlands,"Jan Maijenstraat 10-2, Amsterdam, Netherlands",52.3712815,4.8527568,erasmusbuurt
Hasebroekstraat,54-1,https://www.funda.nl/detail/koop/amsterdam/appartement-hasebroekstraat-54-1/43054152/,46,375000.0,8152.17,Amsterdam,Netherlands,"Hasebroekstraat 54-1, Amsterdam, Netherlands",52.3659777,4.8646546,amsterdam-west
Kerkstraat,93-1,https://www.funda.nl/detail/koop/amsterdam/appartement-kerkstraat-93-1/43925480/,52,450000.0,8653.85,Amsterdam,Netherlands,"Kerkstraat 93-1, Amsterdam, Netherlands",52.3645463,4.8870025,centrum
Frederiksstraat,5-2,https://www.funda.nl/detail/koop/amsterdam/appartement-frederiksstraat-5-2/43918385/,41,425000.0,10365.85,Amsterdam,Netherlands,"Frederiksstraat 5-2, Amsterdam, Netherlands",52.3583495,4.859137,Unknown
Sara Burgerhartstraat,30-3,https://www.funda.nl/detail/koop/amsterdam/appartement-sara-burgerhartstraat-30-3/43915877/,71,465000.0,6549.3,Amsterdam,Netherlands,"Sara Burgerhartstraat 30-3, Amsterdam, Netherlands",52.3827529,4.849431,bos en lommer
Orteliusstraat,310-1,https://www.funda.nl/detail/koop/amsterdam/appartement-orteliusstraat-310-1/43063923/,53,439000.0,8283.02,Amsterdam,Netherlands,"Orteliusstraat 310-1, Amsterdam, Netherlands",52.3733703,4.8476654,erasmusbuurt
Spaarndammerdijk,283,https://www.funda.nl/detail/koop/amsterdam/appartement-spaarndammerdijk-283/43068923/,55,415000.0,7545.45,Amsterdam,Netherlands,"Spaarndammerdijk 283, Amsterdam, Netherlands",52.3927458,4.8714055,spaarndammerbuurt
Rhijnvis Feithstraat,26-2,https://www.funda.nl/detail/koop/amsterdam/appartement-rhijnvis-feithstraat-26-2/43067591/,48,475000.0,9895.83,Amsterdam,Netherlands,"Rhijnvis Feithstraat 26-2, Amsterdam, Netherlands",52.3603187,4.859304,amsterdam-west
Bonaireplein,6-a1,https://www.funda.nl/detail/koop/amsterdam/appartement-bonaireplein-6-a1/43067564/,56,500000.0,8928.57,Amsterdam,Netherlands,"Bonaireplein 6-a1, Amsterdam, Netherlands",52.3611209,4.8558154,baarsjes
Spaarndammerdijk,272,https://www.funda.nl/detail/koop/amsterdam/appartement-spaarndammerdijk-272/43066008/,44,375000.0,8522.73,Amsterdam,Netherlands,"Spaarndammerdijk 272, Amsterdam, Netherlands",52.3927827,4.8716255,spaarndammerbuurt
Orteliusstraat,276-2,https://www.funda.nl/detail/koop/amsterdam/appartement-orteliusstraat-276-2/43054005/,51,415000.0,8137.25,Amsterdam,Netherlands,"Orteliusstraat 276-2, Amsterdam, Netherlands",52.3722853,4.8482222,erasmusbuurt
Borgerstraat,187-1,https://www.funda.nl/detail/koop/amsterdam/appartement-borgerstraat-187-1/43050189/,29,305000.0,10517.24,Amsterdam,Netherlands,"Borgerstraat 187-1, Amsterdam, Netherlands",52.364136,4.8627971,amsterdam-west
Van Boetzelaerstraat,26-h,https://www.funda.nl/detail/koop/amsterdam/appartement-van-boetzelaerstraat-26-h/43059795/,43,400000.0,9302.33,Amsterdam,Netherlands,"Van Boetzelaerstraat 26-h, Amsterdam, Netherlands",52.3827095,4.8740337,staatsliedenbuurt
Curacaostraat,45-4,https://www.funda.nl/detail/koop/amsterdam/appartement-curacaostraat-45-4/43057716/,50,495000.0,9900.0,Amsterdam,Netherlands,"Curacaostraat 45-4, Amsterdam, Netherlands",52.3616765,4.8519887,baarsjes
Jan Maijenstraat,10-1,https://www.funda.nl/detail/koop/amsterdam/appartement-jan-maijenstraat-10-1/43057580/,66,485000.0,7348.48,Amsterdam,Netherlands,"Jan Maijenstraat 10-1, Amsterdam, Netherlands",52.3712813,4.8527568,erasmusbuurt
Cabralstraat,29-3,https://www.funda.nl/detail/koop/amsterdam/appartement-cabralstraat-29-3/43056156/,50,410000.0,8200.0,Amsterdam,Netherlands,"Cabralstraat 29-3, Amsterdam, Netherlands",52.3692967,4.8532211,baarsjes
Gravenstraat,3-m,https://www.funda.nl/detail/koop/amsterdam/appartement-gravenstraat-3-m/43055242/,50,475000.0,9500.0,Amsterdam,Netherlands,"Gravenstraat 3-m, Amsterdam, Netherlands",52.3742405,4.8927969,centrum
Postjeskade,137-1,https://www.funda.nl/detail/koop/amsterdam/appartement-postjeskade-137-1/43943309/,56,498000.0,8892.86,Amsterdam,Netherlands,"Postjeskade 137-1, Amsterdam, Netherlands",52.3620394,4.8502256,baarsjes
Kijkduinstraat,97-h,https://www.funda.nl/detail/koop/amsterdam/appartement-kijkduinstraat-97-h/43942738/,55,480000.0,8727.27,Amsterdam,Netherlands,"Kijkduinstraat 97-h, Amsterdam, Netherlands",52.3831705,4.8524073,bos en lommer
Hertspieghelweg,52-1,https://www.funda.nl/detail/koop/amsterdam/appartement-hertspieghelweg-52-1/43946510/,63,500000.0,7936.51,Amsterdam,Netherlands,"Hertspieghelweg 52-1, Amsterdam, Netherlands",52.3812296,4.8525194,bos en lommer
Ten Katestraat,47-1,https://www.funda.nl/detail/koop/amsterdam/appartement-ten-katestraat-47-1/43933085/,44,425000.0,9659.09,Amsterdam,Netherlands,"Ten Katestraat 47-1, Amsterdam, Netherlands",52.3668692,4.8670814,amsterdam-west
Bos En Lommerplantsoen,33-e,https://www.funda.nl/detail/koop/amsterdam/appartement-bos-en-lommerplantsoen-33-e/43938796/,32,250000.0,7812.5,Amsterdam,Netherlands,"Bos En Lommerplantsoen 33-e, Amsterdam, Netherlands",52.3765993,4.8443805,bos en lommer
Van Beuningenstraat,1-c,https://www.funda.nl/detail/koop/amsterdam/appartement-van-beuningenstraat-1-c/43937170/,56,400000.0,7142.86,Amsterdam,Netherlands,"Van Beuningenstraat 1-c, Amsterdam, Netherlands",52.3852655,4.8791311,staatsliedenbuurt
Postjesweg,116-3,https://www.funda.nl/detail/koop/amsterdam/appartement-postjesweg-116-3/43927184/,53,450000.0,8490.57,Amsterdam,Netherlands,"Postjesweg 116-3, Amsterdam, Netherlands",52.3644376,4.8517821,baarsjes
Egelantiersgracht,33-b,https://www.funda.nl/detail/koop/amsterdam/appartement-egelantiersgracht-33-b/43916987/,39,350000.0,8974.36,Amsterdam,Netherlands,"Egelantiersgracht 33-b, Amsterdam, Netherlands",52.3761416,4.8830387,jordaan
Gibraltarstraat,86-2,https://www.funda.nl/detail/koop/amsterdam/appartement-gibraltarstraat-86-2/43979108/,47,390000.0,8297.87,Amsterdam,Netherlands,"Gibraltarstraat 86-2, Amsterdam, Netherlands",52.3845589,4.8493949,bos en lommer
Hoofdweg,414-3,https://www.funda.nl/detail/koop/amsterdam/appartement-hoofdweg-414-3/43976567/,54,430000.0,7962.96,Amsterdam,Netherlands,"Hoofdweg 414-3, Amsterdam, Netherlands",52.3737075,4.8486603,erasmusbuurt
Lindengracht,128-3a,https://www.funda.nl/detail/koop/amsterdam/appartement-lindengracht-128-3a/43968350/,36,399000.0,11083.33,Amsterdam,Netherlands,"Lindengracht 128-3a, Amsterdam, Netherlands",52.38042,4.8850459,jordaan
Korte Leidsedwarsstraat,2-a,https://www.funda.nl/detail/koop/amsterdam/appartement-korte-leidsedwarsstraat-2-a/43841735/,41,425000.0,10365.85,Amsterdam,Netherlands,"Korte Leidsedwarsstraat 2-a, Amsterdam, Netherlands",52.3651446,4.881857,Unknown
Cabotstraat,21-1,https://www.funda.nl/detail/koop/amsterdam/appartement-cabotstraat-21-1/43845547/,48,425000.0,8854.17,Amsterdam,Netherlands,"Cabotstraat 21-1, Amsterdam, Netherlands",52.3681304,4.8555992,baarsjes
Burgemeester Van De Pollstraat,28-a,https://www.funda.nl/detail/koop/amsterdam/appartement-burgemeester-van-de-pollstraat-28-a/43066870/,72,450000.0,6250.0,Amsterdam,Netherlands,"Burgemeester Van De Pollstraat 28-a, Amsterdam, Netherlands",52.3714467,4.832065,Unknown
Burgemeester Van De Pollstraat,28-a,https://www.funda.nl/detail/koop/amsterdam/appartement-burgemeester-van-de-pollstraat-28-a/43066870/,72,450000.0,6250.0,Amsterdam,Netherlands,"Burgemeester Van De Pollstraat 28-a, Amsterdam, Netherlands",52.3714467,4.832065,slotervaart
Marnixstraat,166-3,https://www.funda.nl/detail/koop/amsterdam/appartement-marnixstraat-166-3/43059098/,65,495000.0,7615.38,Amsterdam,Netherlands,"Marnixstraat 166-3, Amsterdam, Netherlands",52.3728929,4.8757775,jordaan
Willem De Zwijgerlaan,52-2,https://www.funda.nl/detail/koop/amsterdam/appartement-willem-de-zwijgerlaan-52-2/43058609/,48,445000.0,9270.83,Amsterdam,Netherlands,"Willem De Zwijgerlaan 52-2, Amsterdam, Netherlands",52.3718437,4.8639543,erasmusbuurt
Bestevaerstraat,202-1,https://www.funda.nl/detail/koop/amsterdam/appartement-bestevaerstraat-202-1/43948447/,55,400000.0,7272.73,Amsterdam,Netherlands,"Bestevaerstraat 202-1, Amsterdam, Netherlands",52.3791424,4.8580668,bos en lommer
Vondelstraat,42-g,https://www.funda.nl/detail/koop/amsterdam/appartement-vondelstraat-42-g/43926946/,37,450000.0,12162.16,Amsterdam,Netherlands,"Vondelstraat 42-g, Amsterdam, Netherlands",52.3623927,4.8772785,Unknown
Overtoom,114-1,https://www.funda.nl/detail/koop/amsterdam/appartement-overtoom-114-1/43925338/,42,435000.0,10357.14,Amsterdam,Netherlands,"Overtoom 114-1, Amsterdam, Netherlands",52.3628045,4.874822,amsterdam-west
Van Linschotenstraat,39,https://www.funda.nl/detail/koop/amsterdam/appartement-van-linschotenstraat-39/43903019/,36,350000.0,9722.22,Amsterdam,Netherlands,"Van Linschotenstraat 39, Amsterdam, Netherlands",52.3892555,4.8874729,houthavens
Fannius Scholtenstraat,46-1,https://www.funda.nl/detail/koop/amsterdam/appartement-fannius-scholtenstraat-46-1/43979388/,40,380000.0,9500.0,Amsterdam,Netherlands,"Fannius Scholtenstraat 46-1, Amsterdam, Netherlands",52.3838119,4.873463,staatsliedenbuurt
Brouwersgracht,169-2,https://www.funda.nl/detail/koop/amsterdam/appartement-brouwersgracht-169-2/42265969/,39,399000.0,10230.77,Amsterdam,Netherlands,"Brouwersgracht 169-2, Amsterdam, Netherlands",52.3820554,4.8851304,jordaan
Frederik Hendrikstraat,129-3,https://www.funda.nl/detail/koop/amsterdam/appartement-frederik-hendrikstraat-129-3/43063977/,31,295000.0,9516.13,Amsterdam,Netherlands,"Frederik Hendrikstraat 129-3, Amsterdam, Netherlands",52.373867,4.8724913,frederik hendrik buurt
Orteliusstraat,174-2,https://www.funda.nl/detail/koop/amsterdam/appartement-orteliusstraat-174-2/43058224/,50,450000.0,9000.0,Amsterdam,Netherlands,"Orteliusstraat 174-2, Amsterdam, Netherlands",52.3693712,4.8497406,baarsjes
Freek Oxstraat,3-2,https://www.funda.nl/detail/koop/amsterdam/appartement-freek-oxstraat-3-2/43947456/,41,300000.0,7317.07,Amsterdam,Netherlands,"Freek Oxstraat 3-2, Amsterdam, Netherlands",52.3796742,4.8289954,Unknown
Hondiusstraat,7-2,https://www.funda.nl/detail/koop/amsterdam/appartement-hondiusstraat-7-2/43922470/,53,425000.0,8018.87,Amsterdam,Netherlands,"Hondiusstraat 7-2, Amsterdam, Netherlands",52.3739773,4.8487742,erasmusbuurt
Amstelveenseweg,118-2,https://www.funda.nl/detail/koop/amsterdam/appartement-amstelveenseweg-118-2/43929464/,61,500000.0,8196.72,Amsterdam,Netherlands,"Amstelveenseweg 118-2, Amsterdam, Netherlands",52.3551315,4.8550503,Unknown
Burgemeester Cramergracht,49,https://www.funda.nl/detail/koop/amsterdam/appartement-burgemeester-cramergracht-49/43941383/,76,340000.0,4473.68,Amsterdam,Netherlands,"Burgemeester Cramergracht 49, Amsterdam, Netherlands",52.3729317,4.8323538,Unknown
Orteliusstraat,233-2,https://www.funda.nl/detail/koop/amsterdam/appartement-orteliusstraat-233-2/43059823/,49,450000.0,9183.67,Amsterdam,Netherlands,"Orteliusstraat 233-2, Amsterdam, Netherlands",52.3710373,4.8485159,erasmusbuurt
Hoofdweg,380-2,https://www.funda.nl/detail/koop/amsterdam/appartement-hoofdweg-380-2/43063228/,56,425000.0,7589.29,Amsterdam,Netherlands,"Hoofdweg 380-2, Amsterdam, Netherlands",52.3723535,4.8493814,erasmusbuurt
Van Spilbergenstraat,27-h,https://www.funda.nl/detail/koop/amsterdam/appartement-van-spilbergenstraat-27-h/43063139/,41,425000.0,10365.85,Amsterdam,Netherlands,"Van Spilbergenstraat 27-h, Amsterdam, Netherlands",52.3652831,4.8520067,baarsjes
Joan Melchior Kemperstraat,69-1a,https://www.funda.nl/detail/koop/amsterdam/appartement-joan-melchior-kemperstraat-69-1a/43062576/,25,275000.0,11000.0,Amsterdam,Netherlands,"Joan Melchior Kemperstraat 69-1a, Amsterdam, Netherlands",52.3847924,4.8725113,staatsliedenbuurt
Nova Zemblastraat,9-e,https://www.funda.nl/detail/koop/amsterdam/appartement-nova-zemblastraat-9-e/43069232/,68,420000.0,6176.47,Amsterdam,Netherlands,"Nova Zemblastraat 9-e, Amsterdam, Netherlands",52.3899678,4.8843216,spaarndammerbuurt
Admiraal De Ruijterweg,465-2,https://www.funda.nl/detail/koop/amsterdam/appartement-admiraal-de-ruijterweg-465-2/43067633/,65,485000.0,7461.54,Amsterdam,Netherlands,"Admiraal De Ruijterweg 465-2, Amsterdam, Netherlands",52.3835047,4.8488493,bos en lommer
Spuistraat,199-a,https://www.funda.nl/detail/koop/amsterdam/appartement-spuistraat-199-a/43066422/,52,450000.0,8653.85,Amsterdam,Netherlands,"Spuistraat 199-a, Amsterdam, Netherlands",52.3717696,4.8895911,centrum
Potgieterstraat,53-1,https://www.funda.nl/detail/koop/amsterdam/appartement-potgieterstraat-53-1/43054540/,50,420000.0,8400.0,Amsterdam,Netherlands,"Potgieterstraat 53-1, Amsterdam, Netherlands",52.3690564,4.8719306,amsterdam-west
Admiraal De Ruijterweg,28-h,https://www.funda.nl/detail/koop/amsterdam/appartement-admiraal-de-ruijterweg-28-h/43052563/,58,449000.0,7741.38,Amsterdam,Netherlands,"Admiraal De Ruijterweg 28-h, Amsterdam, Netherlands",52.3708036,4.8644359,erasmusbuurt
Derde Egelantiersdwarsstraat,7-3,https://www.funda.nl/detail/koop/amsterdam/appartement-derde-egelantiersdwarsstraat-7-3/43059591/,39,375000.0,9615.38,Amsterdam,Netherlands,"Derde Egelantiersdwarsstraat 7-3, Amsterdam, Netherlands",52.3761934,4.8804098,jordaan
Van Bossestraat,33-2,https://www.funda.nl/detail/koop/amsterdam/appartement-van-bossestraat-33-2/43057787/,36,375000.0,10416.67,Amsterdam,Netherlands,"Van Bossestraat 33-2, Amsterdam, Netherlands",52.3810508,4.8688981,staatsliedenbuurt
Postjesweg,191,https://www.funda.nl/detail/koop/amsterdam/appartement-postjesweg-191/43056151/,80,400000.0,5000.0,Amsterdam,Netherlands,"Postjesweg 191, Amsterdam, Netherlands",52.3637288,4.8383865,postjesweg
Marnixstraat,233-h,https://www.funda.nl/detail/koop/amsterdam/appartement-marnixstraat-233-h/43946674/,44,410000.0,9318.18,Amsterdam,Netherlands,"Marnixstraat 233-h, Amsterdam, Netherlands",52.3762184,4.8778406,jordaan
Ter Haarstraat,24-4,https://www.funda.nl/detail/koop/amsterdam/appartement-ter-haarstraat-24-4/43933455/,26,350000.0,13461.54,Amsterdam,Netherlands,"Ter Haarstraat 24-4, Amsterdam, Netherlands",52.3702324,4.8694841,amsterdam-west
Tweede Hugo De Grootstraat,42-2,https://www.funda.nl/detail/koop/amsterdam/appartement-tweede-hugo-de-grootstraat-42-2/43938428/,54,475000.0,8796.3,Amsterdam,Netherlands,"Tweede Hugo De Grootstraat 42-2, Amsterdam, Netherlands",52.3749531,4.8720385,frederik hendrik buurt
Houtrijkstraat,108,https://www.funda.nl/detail/koop/amsterdam/appartement-houtrijkstraat-108/43918905/,57,455000.0,7982.46,Amsterdam,Netherlands,"Houtrijkstraat 108, Amsterdam, Netherlands",52.3900611,4.8781938,spaarndammerbuurt
Jan Pieter Heijestraat,62-a,https://www.funda.nl/detail/koop/amsterdam/appartement-jan-pieter-heijestraat-62-a/43892224/,73,450000.0,6164.38,Amsterdam,Netherlands,"Jan Pieter Heijestraat 62-a, Amsterdam, Netherlands",52.3646024,4.862586,amsterdam-west
Van Beuningenstraat,1-a,https://www.funda.nl/detail/koop/amsterdam/appartement-van-beuningenstraat-1-a/43056390/,57,425000.0,7456.14,Amsterdam,Netherlands,"Van Beuningenstraat 1-a, Amsterdam, Netherlands",52.3852654,4.8791307,staatsliedenbuurt
Van Beuningenstraat,154-2,https://www.funda.nl/detail/koop/amsterdam/appartement-van-beuningenstraat-154-2/43056405/,38,350000.0,9210.53,Amsterdam,Netherlands,"Van Beuningenstraat 154-2, Amsterdam, Netherlands",52.3819692,4.8733521,staatsliedenbuurt
De Rijpgracht,27-1,https://www.funda.nl/detail/koop/amsterdam/appartement-de-rijpgracht-27-1/43944997/,52,450000.0,8653.85,Amsterdam,Netherlands,"De Rijpgracht 27-1, Amsterdam, Netherlands",52.3770991,4.8614102,erasmusbuurt
Da Costakade,174-1a,https://www.funda.nl/detail/koop/amsterdam/appartement-da-costakade-174-1a/43943557/,35,375000.0,10714.29,Amsterdam,Netherlands,"Da Costakade 174-1a, Amsterdam, Netherlands",52.3673634,4.8732277,amsterdam-west
Hoofdweg,285-3,https://www.funda.nl/detail/koop/amsterdam/appartement-hoofdweg-285-3/43942990/,57,499000.0,8754.39,Amsterdam,Netherlands,"Hoofdweg 285-3, Amsterdam, Netherlands",52.3682566,4.8516917,baarsjes
Derde Hugo De Grootstraat,20-1,https://www.funda.nl/detail/koop/amsterdam/appartement-derde-hugo-de-grootstraat-20-1/43941643/,46,430000.0,9347.83,Amsterdam,Netherlands,"Derde Hugo De Grootstraat 20-1, Amsterdam, Netherlands",52.3737688,4.8725661,frederik hendrik buurt
Kanaalstraat,170-1,https://www.funda.nl/detail/koop/amsterdam/appartement-kanaalstraat-170-1/43948133/,53,500000.0,9433.96,Amsterdam,Netherlands,"Kanaalstraat 170-1, Amsterdam, Netherlands",52.3612527,4.8591463,amsterdam-west
