street_name,number,url,m2,price,price/m2,city,country,full_address,lat,lon,neighborhood
Groen Van Prinstererstraat,33-2,https://www.funda.nl/detail/koop/amsterdam/appartement-groen-van-prinstererstraat-33-2/43052878/,43,390000.0,9069.77,Amsterdam,Netherlands,"Groen Van Prinstererstraat 33-2, Amsterdam, Netherlands",52.3836088,4.8722171,staatsliedenbuurt
Solebaystraat,68-3,https://www.funda.nl/detail/koop/amsterdam/appartement-solebaystraat-68-3/43052403/,49,375000.0,7653.06,Amsterdam,Netherlands,"Solebaystraat 68-3, Amsterdam, Netherlands",52.383846,4.8546474,bos en lommer
Houtmankade,71-2,https://www.funda.nl/detail/koop/amsterdam/appartement-houtmankade-71-2/43051037/,51,450000.0,8823.53,Amsterdam,Netherlands,"Houtmankade 71-2, Amsterdam, Netherlands",52.3876709,4.8847,houthavens
Lucellestraat,26-1,https://www.funda.nl/detail/koop/amsterdam/appartement-lucellestraat-26-1/43051990/,51,400000.0,7843.14,Amsterdam,Netherlands,"Lucellestraat 26-1, Amsterdam, Netherlands",52.3795721,4.8496902,bos en lommer
Heer Halewijnstraat,7-h,https://www.funda.nl/detail/koop/amsterdam/appartement-heer-halewijnstraat-7-h/43051700/,56,450000.0,8035.71,Amsterdam,Netherlands,"Heer Halewijnstraat 7-h, Amsterdam, Netherlands",52.3772317,4.8547562,bos en lommer
Elisabeth Wolffstraat,94-2,https://www.funda.nl/detail/koop/amsterdam/appartement-elisabeth-wolffstraat-94-2/43059274/,53,485000.0,9150.94,Amsterdam,Netherlands,"Elisabeth Wolffstraat 94-2, Amsterdam, Netherlands",52.3685982,4.8678392,amsterdam-west
Jasper Leijnsenstraat,5-3,https://www.funda.nl/detail/koop/amsterdam/appartement-jasper-leijnsenstraat-5-3/43059655/,44,395000.0,8977.27,Amsterdam,Netherlands,"Jasper Leijnsenstraat 5-3, Amsterdam, Netherlands",52.3765277,4.8623132,erasmusbuurt
Bos En Lommerplantsoen,73-p,https://www.funda.nl/detail/koop/amsterdam/appartement-bos-en-lommerplantsoen-73-p/43058378/,31,250000.0,8064.52,Amsterdam,Netherlands,"Bos En Lommerplantsoen 73-p, Amsterdam, Netherlands",52.3757914,4.8441928,bos en lommer
Willem De Zwijgerlaan,207-2,https://www.funda.nl/detail/koop/amsterdam/appartement-willem-de-zwijgerlaan-207-2/43058256/,65,495000.0,7615.38,Amsterdam,Netherlands,"Willem De Zwijgerlaan 207-2, Amsterdam, Netherlands",52.376907,4.8626606,erasmusbuurt
Van Hallstraat,33-2,https://www.funda.nl/detail/koop/amsterdam/appartement-van-hallstraat-33-2/43058277/,50,425000.0,8500.0,Amsterdam,Netherlands,"Van Hallstraat 33-2, Amsterdam, Netherlands",52.3843548,4.8701667,staatsliedenbuurt
Haarlemmerdijk,178-b,https://www.funda.nl/detail/koop/amsterdam/appartement-haarlemmerdijk-178-b/43057973/,48,425000.0,8854.17,Amsterdam,Netherlands,"Haarlemmerdijk 178-b, Amsterdam, Netherlands",52.3841212,4.8847696,jordaan
Van Spilbergenstraat,69-2,https://www.funda.nl/detail/koop/amsterdam/appartement-van-spilbergenstraat-69-2/43057866/,50,450000.0,9000.0,Amsterdam,Netherlands,"Van Spilbergenstraat 69-2, Amsterdam, Netherlands",52.366405,4.8516702,baarsjes
Willem De Zwijgerlaan,148-2,https://www.funda.nl/detail/koop/amsterdam/appartement-willem-de-zwijgerlaan-148-2/43057703/,48,425000.0,8854.17,Amsterdam,Netherlands,"Willem De Zwijgerlaan 148-2, Amsterdam, Netherlands",52.3745648,4.8634522,erasmusbuurt
Hertspieghelweg,50-1,https://www.funda.nl/detail/koop/amsterdam/appartement-hertspieghelweg-50-1/43056359/,65,450000.0,6923.08,Amsterdam,Netherlands,"Hertspieghelweg 50-1, Amsterdam, Netherlands",52.381185,4.8525787,bos en lommer
Johannes Meewisstraat,50-3,https://www.funda.nl/detail/koop/amsterdam/appartement-johannes-meewisstraat-50-3/43056083/,57,360000.0,6315.79,Amsterdam,Netherlands,"Johannes Meewisstraat 50-3, Amsterdam, Netherlands",52.3842786,4.8353859,Unknown
Nachtwachtlaan,442,https://www.funda.nl/detail/koop/amsterdam/appartement-nachtwachtlaan-442/43055875/,59,425000.0,7203.39,Amsterdam,Netherlands,"Nachtwachtlaan 442, Amsterdam, Netherlands",52.3635816,4.8434826,baarsjes
Palmgracht,23-2,https://www.funda.nl/detail/koop/amsterdam/appartement-palmgracht-23-2/43943968/,45,425000.0,9444.44,Amsterdam,Netherlands,"Palmgracht 23-2, Amsterdam, Netherlands",52.381997,4.8841177,jordaan
Esmoreitstraat,41-2,https://www.funda.nl/detail/koop/amsterdam/appartement-esmoreitstraat-41-2/43942614/,53,425000.0,8018.87,Amsterdam,Netherlands,"Esmoreitstraat 41-2, Amsterdam, Netherlands",52.3778714,4.8512233,bos en lommer
Van Spilbergenstraat,121-3,https://www.funda.nl/detail/koop/amsterdam/appartement-van-spilbergenstraat-121-3/43941878/,50,450000.0,9000.0,Amsterdam,Netherlands,"Van Spilbergenstraat 121-3, Amsterdam, Netherlands",52.3679564,4.8509173,baarsjes
Nassaukade,302-1,https://www.funda.nl/detail/koop/amsterdam/appartement-nassaukade-302-1/43949452/,45,425000.0,9444.44,Amsterdam,Netherlands,"Nassaukade 302-1, Amsterdam, Netherlands",52.369662,4.8747869,amsterdam-west
Eerste Kostverlorenkade,10-1,https://www.funda.nl/detail/koop/amsterdam/appartement-eerste-kostverlorenkade-10-1/43946778/,64,475000.0,7421.88,Amsterdam,Netherlands,"Eerste Kostverlorenkade 10-1, Amsterdam, Netherlands",52.3791479,4.8735905,frederik hendrik buurt
Rozengracht,212-1,https://www.funda.nl/detail/koop/amsterdam/appartement-rozengracht-212-1/43945759/,35,350000.0,10000.0,Amsterdam,Netherlands,"Rozengracht 212-1, Amsterdam, Netherlands",52.3726648,4.8770723,jordaan
Jan Den Haenstraat,32-c,https://www.funda.nl/detail/koop/amsterdam/appartement-jan-den-haenstraat-32-c/43934650/,55,475000.0,8636.36,Amsterdam,Netherlands,"Jan Den Haenstraat 32-c, Amsterdam, Netherlands",52.3786911,4.8614305,bos en lommer
