street_name,number,url,m2,price,price/m2,city,country,full_address,lat,lon,neighborhood,indeling_kamers,indeling_badkamers,indeling_voorzieningen,indeling_woonlagen,indeling_verdieping,indeling_energielabel,indeling_isolatie,indeling_verwarming,indeling_warm_water,kadaster_eigendomssituatie,kadaster_lasten,listing_data_soort_appartement,listing_data_soort_bouw,listing_data_bouwjaar,listing_data_soort_dak,listing_data_gebouwgebonden_buitenruimte_m2,listing_data_externe_bergruimte_m2,listing_data_inhoud_m3,overdracht_vraagprijs,overdracht_prijs_per_m2,overdracht_aangeboden_sinds,overdracht_status,overdracht_aanvaarding,overdracht_servicekosten,energy_label,surface_gebouwgebonden_buitenruimte_m2,surface_externe_bergruimte_m2,surface_inhoud_m3,aangeboden_date,servicekosten_num,has_berging,has_balkon,kadaster_lasten_price,kadaster_lasten_year,eigendom_year,woonlaag_num,num_kamers,num_badkamers,woonlagen_num,beschikbaar
Burgemeester Cramergracht,49,https://www.funda.nl/detail/koop/amsterdam/appartement-burgemeester-cramergracht-49/43941383/,76,340000,4473.68,Amsterdam,Netherlands,"Burgemeester Cramergracht 49, Amsterdam, Netherlands",52.3729317,4.8323538,Unknown,4 kamers (3 slaapkamers),,,1 woonlaag,4e woonlaag,Niet beschikbaar,,Blokverwarming,Elektrische boiler,Gemeentelijk eigendom belast met erfpacht (einddatum erfpacht: 31-03-2030),"€ 59,89 per jaar met optie tot afkopen",Bovenwoning (appartement),Bestaande bouw,1957,Plat dak bedekt met bitumineuze dakbedekking,6.0,10.0,183.0,€ 340.000 kosten koper,€ 4.474,6 juni 2025,Beschikbaar,In overleg,"€ 289,87 per maand",Niet beschikbaar,6.0,10.0,183.0,2025-06-06,289.87,True,True,59.89,,2030,4.0,4,0,1,True
Burgemeester Hogguerstraat,315,https://www.funda.nl/detail/koop/amsterdam/appartement-burgemeester-hogguerstraat-315/43943314/,90,425000,4722.22,Amsterdam,Netherlands,"Burgemeester Hogguerstraat 315, Amsterdam, Netherlands",52.3718878,4.8305029,Unknown,1 badkamer en 1 apart toilet,,"Lift, natuurlijke ventilatie, en TV kabel",1 woonlaag,11e woonlaag,AWat betekent dit?,Dubbel glas,Blokverwarming en stadsverwarming,Centrale voorziening,Gemeentelijke erfpacht,Eeuwigdurend afgekocht,Galerijflat (appartement),Bestaande bouw,1965,Plat dak bedekt met bitumineuze dakbedekking,16.0,5.0,293.0,€ 425.000 kosten koper,€ 4.722,6 juni 2025,Beschikbaar,In overleg,,A,16.0,5.0,293.0,2025-06-06,,True,True,0.0,2099.0,0,11.0,,1,1,True
Burgemeester Hogguerstraat,581,https://www.funda.nl/detail/koop/amsterdam/appartement-burgemeester-hogguerstraat-581/43936887/,91,435000,4780.22,Amsterdam,Netherlands,"Burgemeester Hogguerstraat 581, Amsterdam, Netherlands",52.3722437,4.829309,Unknown,1 badkamer en 1 apart toilet,,"Lift, mechanische ventilatie, en natuurlijke ventilatie",1 woonlaag,,CWat betekent dit?,Dubbel glas,Blokverwarming,Centrale voorziening,Gemeentelijk eigendom belast met erfpacht (einddatum erfpacht: 31-12-2035),"€ 107,96 per jaar met optie tot afkopen",Bovenwoning (appartement),Bestaande bouw,1965,Plat dak bedekt met bitumineuze dakbedekking,17.0,6.0,301.0,€ 435.000 kosten koper,€ 4.780,3 weken,,In overleg,,C,17.0,6.0,301.0,2025-05-27,,True,True,107.96,,2035,,,1,1,False
Burgemeester Cramergracht,17,https://www.funda.nl/detail/koop/amsterdam/appartement-burgemeester-cramergracht-17/43916609/,75,365000,4866.67,Amsterdam,Netherlands,"Burgemeester Cramergracht 17, Amsterdam, Netherlands",52.3729134,4.8323548,Unknown,1 badkamer,,Lift en TV kabel,1 woonlaag,2e woonlaag,CWat betekent dit?,Dubbel glas,Blokverwarming,Elektrische boiler,Gemeentelijk eigendom belast met erfpacht (einddatum erfpacht: 01-04-2030),"€ 57,17 per jaar",Galerijflat (appartement),Bestaande bouw,1957,Plat dak,6.0,,244.0,€ 365.000 kosten koper,€ 4.867,5 weken,,In overleg,"€ 304,17 per maand",C,6.0,,244.0,2025-05-13,304.17,False,True,57.17,,2030,2.0,,1,1,False
Sinjeur Semeynsstraat,78-1,https://www.funda.nl/detail/koop/amsterdam/appartement-sinjeur-semeynsstraat-78-1/43917775/,81,400000,4938.27,Amsterdam,Netherlands,"Sinjeur Semeynsstraat 78-1, Amsterdam, Netherlands",52.3813357,4.8442345,slotervaart,1 badkamer en 1 apart toilet,,"Douche, ligbad, en wastafel",1 woonlaag,,FWat betekent dit?,Muurisolatie,Blokverwarming,Elektrische boiler,Erfpacht,,Bovenwoning (appartement),Bestaande bouw,1961,,7.0,6.0,216.0,€ 400.000 kosten koper,€ 4.938,4 weken,Beschikbaar,In overleg,"€ 281,00 per maand",F,7.0,6.0,216.0,2025-05-20,281.0,True,True,,,0,,,1,1,True
Postjesweg,191,https://www.funda.nl/detail/koop/amsterdam/appartement-postjesweg-191/43056151/,80,400000,5000.0,Amsterdam,Netherlands,"Postjesweg 191, Amsterdam, Netherlands",52.3637288,4.8383865,postjesweg,1 badkamer en 1 apart toilet,,Lift,1 woonlaag,1e woonlaag,BWat betekent dit?,Dubbel glas,Blokverwarming,Geiser,Gemeentelijk eigendom belast met erfpacht,Eeuwigdurend afgekocht,Bovenwoning (appartement),Bestaande bouw,1961,Plat dak bedekt met bitumineuze dakbedekking,4.0,7.0,209.0,€ 400.000 kosten koper,€ 5.000,11 juni 2025,Beschikbaar,In overleg,"€ 198,00 per maand",B,4.0,7.0,209.0,2025-06-11,198.0,True,True,0.0,2099.0,0,1.0,,1,1,True
Burgemeester Roellstraat,20-3,https://www.funda.nl/detail/koop/amsterdam/appartement-burgemeester-roellstraat-20-3/43959452/,70,350000,5000.0,Amsterdam,Netherlands,"Burgemeester Roellstraat 20-3, Amsterdam, Netherlands",52.3736234,4.8342849,slotervaart,4 kamers (3 slaapkamers),,Lift en TV kabel,1 woonlaag,3e woonlaag,EWat betekent dit?,Gedeeltelijk dubbel glas,Blokverwarming,Geiser,Lidmaatschapsrecht,,Bovenwoning (appartement),Bestaande bouw,1962,Plat dak bedekt met bitumineuze dakbedekking,10.0,6.0,236.0,€ 350.000 kosten koper,€ 5.000,2 maanden,Beschikbaar,In overleg,"€ 414,90 per maand",E,10.0,6.0,236.0,2025-04-17,414.9,True,True,,,-1,3.0,4,0,1,True
Burgemeester Cramergracht,73,https://www.funda.nl/detail/koop/amsterdam/appartement-burgemeester-cramergracht-73/43788375/,77,395000,5129.87,Amsterdam,Netherlands,"Burgemeester Cramergracht 73, Amsterdam, Netherlands",52.3729488,4.8323537,Unknown,1 badkamer en 1 apart toilet,,Lift,1 woonlaag,,CWat betekent dit?,,Blokverwarming,Elektrische boiler,,,Bovenwoning (appartement),Bestaande bouw,1957,,6.0,5.0,207.0,€ 395.000 kosten koper,€ 5.130,6+ maanden,,In overleg,,C,6.0,5.0,207.0,2024-12-17,,True,True,,,,,,1,1,False
Marnixstraat,48-1r,https://www.funda.nl/detail/koop/amsterdam/appartement-marnixstraat-48-1r/43968115/,92,485000,5271.74,Amsterdam,Netherlands,"Marnixstraat 48-1r, Amsterdam, Netherlands",52.3809572,4.8805163,jordaan,1 badkamer,,"Inloopdouche, toilet, en wastafel",3 woonlagen,1e woonlaag,Niet beschikbaar,Dubbel glas,Cv-ketel,Cv-ketel,Volle eigendom,,Bovenwoning,Bestaande bouw,1872,,,,286.0,€ 485.000 kosten koper,€ 5.272,2 maanden,,In overleg,"€ 187,00 per maand",Niet beschikbaar,,,286.0,2025-04-17,187.0,False,False,,,9999,1.0,,1,,False
Burgemeester Cramergracht,154,https://www.funda.nl/detail/koop/amsterdam/appartement-burgemeester-cramergracht-154/43910039/,74,395000,5337.84,Amsterdam,Netherlands,"Burgemeester Cramergracht 154, Amsterdam, Netherlands",52.3743179,4.8329248,Unknown,1 badkamer en 1 apart toilet,,Lift en TV kabel,1 woonlaag,,DWat betekent dit?,Dubbel glas,Blokverwarming,Elektrische boiler,Gemeentelijke erfpacht,Eeuwigdurend afgekocht,Galerijflat (appartement),Bestaande bouw,1958,Plat dak bedekt met bitumineuze dakbedekking,12.0,6.0,256.0,€ 395.000 kosten koper,€ 5.338,4 weken,,In overleg,"€ 230,00 per maand",D,12.0,6.0,256.0,2025-05-20,230.0,True,True,0.0,2099.0,0,,,1,1,False
Postjesweg,369,https://www.funda.nl/detail/koop/amsterdam/appartement-postjesweg-369/43907703/,68,369000,5426.47,Amsterdam,Netherlands,"Postjesweg 369, Amsterdam, Netherlands",52.3637143,4.8372116,postjesweg,1 badkamer en 1 apart toilet,,Mechanische ventilatie en natuurlijke ventilatie,1 woonlaag,5e woonlaag,DWat betekent dit?,Dubbel glas en HR-glas,Blokverwarming,Geiser,Gemeentelijke erfpacht,"€ 122,07 per jaar",Bovenwoning (appartement),Bestaande bouw,1962,,4.0,7.0,224.0,€ 369.000 kosten koper,€ 5.426,5 weken,,In overleg,"€ 188,12 per maand",D,4.0,7.0,224.0,2025-05-13,188.12,True,True,122.07,,0,5.0,,1,1,False
Burgemeester Hogguerstraat,53,https://www.funda.nl/detail/koop/amsterdam/appartement-burgemeester-hogguerstraat-53/43906264/,77,420000,5454.55,Amsterdam,Netherlands,"Burgemeester Hogguerstraat 53, Amsterdam, Netherlands",52.3717989,4.830504,Unknown,1 badkamer en 1 apart toilet,,"Lift, natuurlijke ventilatie, en TV kabel",1 woonlaag,2e woonlaag,BWat betekent dit?,Dubbel glas,Blokverwarming,Centrale voorziening,Gemeentelijk eigendom belast met erfpacht,"€ 158,30 per jaar",Galerijflat (appartement),Bestaande bouw,1965,Plat dak bedekt met bitumineuze dakbedekking,13.0,5.0,244.0,€ 420.000 kosten koper,€ 5.455,5 weken,,In overleg,,B,13.0,5.0,244.0,2025-05-13,,True,True,158.3,,0,2.0,,1,1,False
Burgemeester Cramergracht,162,https://www.funda.nl/detail/koop/amsterdam/appartement-burgemeester-cramergracht-162/43971464/,62,350000,5645.16,Amsterdam,Netherlands,"Burgemeester Cramergracht 162, Amsterdam, Netherlands",52.3743899,4.8329533,Unknown,1 badkamer en 1 apart toilet,,Lift en mechanische ventilatie,1 woonlaag,5e woonlaag,CWat betekent dit?,Dubbel glas,Blokverwarming,Centrale voorziening,Gemeentelijk eigendom belast met erfpacht,Eeuwigdurend afgekocht,Galerijflat (appartement),Bestaande bouw,1957,Plat dak bedekt met bitumineuze dakbedekking,2.0,6.0,208.0,€ 350.000 kosten koper,€ 5.645,2 maanden,,In overleg,"€ 110,73 per maand",C,2.0,6.0,208.0,2025-04-17,110.73,True,True,0.0,2099.0,0,5.0,,1,1,False
Freek Oxstraat,17-3,https://www.funda.nl/detail/koop/amsterdam/appartement-freek-oxstraat-17-3/43909710/,57,325000,5701.75,Amsterdam,Netherlands,"Freek Oxstraat 17-3, Amsterdam, Netherlands",52.3793135,4.8288384,Unknown,1 badkamer en 1 apart toilet,,Mechanische ventilatie en TV kabel,2 woonlagen,5e woonlaag,EWat betekent dit?,Dubbel glas,Cv-ketel,Cv-ketel,Gemeentelijk eigendom belast met erfpacht,Afgekocht tot 31-05-2059,Bovenwoning (appartement),Bestaande bouw,,Zadeldak bedekt met pannen,4.0,3.0,214.0,€ 325.000 kosten koper,€ 5.702,5 weken,,In overleg,"€ 285,10 per maand",E,4.0,3.0,214.0,2025-05-13,285.1,True,True,0.0,2059.0,0,5.0,,1,,False
Burgemeester Fockstraat,188-2,https://www.funda.nl/detail/koop/amsterdam/appartement-burgemeester-fockstraat-188-2/43058265/,57,325000,5701.75,Amsterdam,Netherlands,"Burgemeester Fockstraat 188-2, Amsterdam, Netherlands",52.3838866,4.8342154,Unknown,1 badkamer en 1 apart toilet,,Natuurlijke ventilatie en TV kabel,1 woonlaag,2e woonlaag,CWat betekent dit?,Dubbel glas,Moederhaard,Elektrische boiler,Gemeentelijk eigendom belast met erfpacht (einddatum erfpacht: 30-04-2029),"€ 81,42 per jaar",Portiekwoning (appartement),Bestaande bouw,1955,Plat dak bedekt met bitumineuze dakbedekking,6.0,5.0,184.0,€ 325.000 kosten koper,€ 5.702,11 juni 2025,Beschikbaar,In overleg,,C,6.0,5.0,184.0,2025-06-11,,True,True,81.42,,2029,2.0,,1,1,True
Postjesweg,323,https://www.funda.nl/detail/koop/amsterdam/appartement-postjesweg-323/43947529/,69,395000,5724.64,Amsterdam,Netherlands,"Postjesweg 323, Amsterdam, Netherlands",52.363714,4.8371532,postjesweg,1 badkamer en 1 apart toilet,,"Glasvezelkabel, lift, mechanische ventilatie, natuurlijke ventilatie, en TV kabel",1 woonlaag,2e woonlaag,CWat betekent dit?,Dubbel glas en vloerisolatie,Blokverwarming,Cv-ketel,Gemeentelijk eigendom belast met erfpacht,"€ 118,00 per jaar",Galerijflat (service flat met open portiek),Bestaande bouw,1961,Plat dak bedekt met bitumineuze dakbedekking,5.0,,227.0,€ 395.000 kosten koper,€ 5.725,3 juni 2025,,In overleg,"€ 187,00 per maand",C,5.0,,227.0,2025-06-03,187.0,False,True,118.0,,0,2.0,,1,1,False
Lex Althoffstraat,15-h,https://www.funda.nl/detail/koop/amsterdam/appartement-lex-althoffstraat-15-h/43902966/,68,400000,5882.35,Amsterdam,Netherlands,"Lex Althoffstraat 15-h, Amsterdam, Netherlands",52.3792113,4.8299269,Unknown,1 badkamer en 1 apart toilet,,Douche en wastafel,2 woonlagen,Begane grond,CWat betekent dit?,Dubbel glas,Cv-ketel,Cv-ketel,Gemeentelijk eigendom belast met erfpacht (einddatum erfpacht: 31-05-2059),Afgekocht tot 31-05-2059,Beneden + bovenwoning (appartement),Bestaande bouw,1953,Plat dak bedekt met bitumineuze dakbedekking,,2.0,237.0,€ 400.000 kosten koper,€ 5.882,5 weken,Beschikbaar,In overleg,"€ 238,94 per maand",C,,2.0,237.0,2025-05-13,238.94,True,False,0.0,2059.0,2059,0.0,,1,,True
Postjesweg,457,https://www.funda.nl/detail/koop/amsterdam/appartement-postjesweg-457/43908421/,80,480000,6000.0,Amsterdam,Netherlands,"Postjesweg 457, Amsterdam, Netherlands",52.3636986,4.8357738,postjesweg,1 badkamer en 1 apart toilet,,"Buitenzonwering, lift, en natuurlijke ventilatie",3 woonlagen,1e woonlaag,CWat betekent dit?,Dubbel glas,Blokverwarming en elektrische verwarming,Elektrische boiler,Eigendom belast met erfpacht,Eeuwigdurend afgekocht,Galerijflat (appartement),Bestaande bouw,1961,,4.0,7.0,253.0,€ 480.000 kosten koper,€ 6.000,5 weken,,In overleg,"€ 198,13 per maand",C,4.0,7.0,253.0,2025-05-13,198.13,True,True,0.0,2099.0,0,1.0,,1,,False
Hofwijckstraat,24-3,https://www.funda.nl/detail/koop/amsterdam/appartement-hofwijckstraat-24-3/43939804/,70,425000,6071.43,Amsterdam,Netherlands,"Hofwijckstraat 24-3, Amsterdam, Netherlands",52.379765,4.8505988,bos en lommer,1 badkamer en 1 apart toilet,,Mechanische ventilatie,1 woonlaag,4e woonlaag,DWat betekent dit?,Dubbel glas,Cv-ketel,Cv-ketel,Gemeentelijke erfpacht (einddatum erfpacht: 15-08-2055),Afgekocht tot 15-08-2055,Bovenwoning (appartement),Bestaande bouw,1950,Plat dak bedekt met bitumineuze dakbedekking,3.0,8.0,214.0,€ 425.000 kosten koper,€ 6.071,2 weken,,Per direct beschikbaar,"€ 165,86 per maand",D,3.0,8.0,214.0,2025-06-03,165.86,True,True,0.0,2055.0,2055,4.0,,1,1,False
Jan Pieter Heijestraat,62-a,https://www.funda.nl/detail/koop/amsterdam/appartement-jan-pieter-heijestraat-62-a/43892224/,73,450000,6164.38,Amsterdam,Netherlands,"Jan Pieter Heijestraat 62-a, Amsterdam, Netherlands",52.3646024,4.862586,amsterdam-west,1 badkamer en 1 apart toilet,,Douche en wastafel,1 woonlaag,1e woonlaag,BWat betekent dit?,Dubbel glas,Cv-ketel,Cv-ketel,Gemeentelijk eigendom belast met erfpacht,Afgekocht tot 31-10-2037,Bovenwoning,Bestaande bouw,1987,Plat dak,30.0,5.0,242.0,€ 450.000 kosten koper,€ 6.164,4 maanden,Beschikbaar,In overleg,"€ 190,00 per maand",B,30.0,5.0,242.0,2025-02-17,190.0,True,True,0.0,2037.0,0,1.0,,1,1,True
Lange Leidsedwarsstraat,9-a,https://www.funda.nl/detail/koop/amsterdam/appartement-lange-leidsedwarsstraat-9-a/43911331/,58,359000,6189.66,Amsterdam,Netherlands,"Lange Leidsedwarsstraat 9-a, Amsterdam, Netherlands",52.3645421,4.88389,Unknown,1 badkamer en 1 apart toilet,,Natuurlijke ventilatie,1 woonlaag,3e woonlaag,CWat betekent dit?,Muurisolatie en vloerisolatie,Cv-ketel,Cv-ketel,Volle eigendom,,Bovenwoning (appartement),Bestaande bouw,1902,,,,221.0,€ 359.000 kosten koper,€ 6.190,4 weken,,Per direct beschikbaar,"€ 280,00 per maand",C,,,221.0,2025-05-20,280.0,False,False,,,9999,3.0,,1,1,False
Robert Scottstraat,16-2,https://www.funda.nl/detail/koop/amsterdam/appartement-robert-scottstraat-16-2/43922102/,79,490000,6202.53,Amsterdam,Netherlands,"Robert Scottstraat 16-2, Amsterdam, Netherlands",52.3730068,4.8468184,erasmusbuurt,1 badkamer en 1 apart toilet,,Mechanische ventilatie,1 woonlaag,3e woonlaag,DWat betekent dit?,Dubbel glas,Cv-ketel,Cv-ketel,Gemeentelijke erfpacht,Afgekocht tot 15-07-2063,Bovenwoning (appartement),Bestaande bouw,1950,Plat dak bedekt met bitumineuze dakbedekking,8.0,7.0,247.0,€ 490.000 kosten koper,€ 6.203,3 weken,,In overleg,"€ 178,61 per maand",D,8.0,7.0,247.0,2025-05-27,178.61,True,True,0.0,2063.0,0,3.0,,1,1,False
Bos En Lommerplein,210,https://www.funda.nl/detail/koop/amsterdam/appartement-bos-en-lommerplein-210/43946009/,80,500000,6250.0,Amsterdam,Netherlands,"Bos En Lommerplein 210, Amsterdam, Netherlands",52.3780973,4.8455812,bos en lommer,1 badkamer en 1 apart toilet,,Mechanische ventilatie en TV kabel,2 woonlagen,4e woonlaag,AWat betekent dit?,Dubbel glas en muurisolatie,Cv-ketel,Cv-ketel,Gemeentelijk eigendom belast met erfpacht,Eeuwigdurend afgekocht,Tussenverdieping (appartement),Bestaande bouw,2003,Plat dak,8.0,6.0,253.0,€ 500.000 kosten koper,€ 6.250,4 juni 2025,Beschikbaar,In overleg,"€ 174,28 per maand",A,8.0,6.0,253.0,2025-06-04,174.28,True,True,0.0,2099.0,0,4.0,,1,,True
Bos En Lommerweg,347-1,https://www.funda.nl/detail/koop/amsterdam/appartement-bos-en-lommerweg-347-1/43951319/,79,495000,6265.82,Amsterdam,Netherlands,"Bos En Lommerweg 347-1, Amsterdam, Netherlands",52.3780254,4.8475501,bos en lommer,1 badkamer en 1 apart toilet,,TV kabel,1 woonlaag,1e woonlaag,CWat betekent dit?,Dubbel glas,Cv-ketel,Cv-ketel,Gemeentelijke erfpacht,Afgekocht tot 15-06-2039,Bovenwoning (appartement),Bestaande bouw,1940,Plat dak bedekt met bitumineuze dakbedekking,13.0,10.0,291.0,€ 495.000 kosten koper,€ 6.266,2 maanden,,In overleg,"€ 127,60 per maand",C,13.0,10.0,291.0,2025-04-17,127.6,True,True,0.0,2039.0,0,1.0,,1,1,False
Johannes Meewisstraat,50-3,https://www.funda.nl/detail/koop/amsterdam/appartement-johannes-meewisstraat-50-3/43056083/,57,360000,6315.79,Amsterdam,Netherlands,"Johannes Meewisstraat 50-3, Amsterdam, Netherlands",52.3842786,4.8353859,Unknown,1 badkamer en 1 apart toilet,,TV kabel,1 woonlaag,3e woonlaag,EWat betekent dit?,Dubbel glas,Cv-ketel,Cv-ketel,Gemeentelijk eigendom belast met erfpacht (einddatum erfpacht: 30-04-2029),"€ 58,32 per jaar",Bovenwoning (appartement),Bestaande bouw,1955,Plat dak bedekt met bitumineuze dakbedekking,6.0,5.0,202.0,€ 360.000 kosten koper,€ 6.316,11 juni 2025,Beschikbaar,In overleg,"€ 125,07 per maand",E,6.0,5.0,202.0,2025-06-11,125.07,True,True,58.32,,2029,3.0,,1,1,True
Egidiusstraat,3/Oct,https://www.funda.nl/detail/koop/amsterdam/appartement-egidiusstraat-10-3/43994035/,71,450000,6338.03,Amsterdam,Netherlands,"Egidiusstraat 10-3, Amsterdam, Netherlands",52.3782185,4.852468,bos en lommer,1 badkamer en 1 apart toilet,,Douche en wastafel,1 woonlaag,4e woonlaag,EWat betekent dit?,Gedeeltelijk dubbel glas,Cv-ketel,Cv-ketel,Gemeentelijke erfpacht (einddatum erfpacht: 01-09-2053),Afgekocht tot 01-09-2053,Bovenwoning (appartement),Bestaande bouw,1950,Plat dak bedekt met bitumineuze dakbedekking,13.0,12.0,229.0,€ 450.000 kosten koper,€ 6.338,6 weken,,Per direct beschikbaar,"€ 258,62 per maand",E,13.0,12.0,229.0,2025-05-06,258.62,True,True,0.0,2053.0,2053,4.0,,1,1,False
Burgemeester Cramergracht,76,https://www.funda.nl/detail/koop/amsterdam/appartement-burgemeester-cramergracht-76/43910089/,76,490000,6447.37,Amsterdam,Netherlands,"Burgemeester Cramergracht 76, Amsterdam, Netherlands",52.3731472,4.8324402,Unknown,1 badkamer en 1 apart toilet,,"Lift, natuurlijke ventilatie, en TV kabel",1 woonlaag,7e woonlaag,CWat betekent dit?,Dubbel glas,Blokverwarming,Cv-ketel,Volle eigendom,,Galerijflat (appartement),Bestaande bouw,1957,Plat dak,12.0,7.0,254.0,€ 490.000 kosten koper,€ 6.447,4 weken,Beschikbaar,Per direct beschikbaar,"€ 231,10 per maand",C,12.0,7.0,254.0,2025-05-20,231.1,True,True,,,9999,7.0,,1,1,True
Spitsbergenstraat,48,https://www.funda.nl/detail/koop/amsterdam/appartement-spitsbergenstraat-48/43983198/,75,500000,6666.67,Amsterdam,Netherlands,"Spitsbergenstraat 48, Amsterdam, Netherlands",52.3898891,4.8800619,spaarndammerbuurt,1 badkamer en 1 apart toilet,,"Glasvezelkabel, natuurlijke ventilatie, schuifpui, en TV kabel",1 woonlaag,2e woonlaag,CWat betekent dit?,Dubbel glas,Cv-ketel,Cv-ketel,Gemeentelijke erfpacht (einddatum erfpacht: 16-11-2038),Afgekocht tot 16-11-2038,Portiekflat (appartement),Bestaande bouw,1988,Plat dak bedekt met bitumineuze dakbedekking,4.0,6.0,239.0,€ 500.000 kosten koper,€ 6.667,7 weken,,In overleg,"€ 178,05 per maand",C,4.0,6.0,239.0,2025-04-29,178.05,True,True,0.0,2038.0,2038,2.0,,1,1,False
Derkinderenstraat,69-3,https://www.funda.nl/detail/koop/amsterdam/appartement-derkinderenstraat-69-3/43054415/,71,475000,6690.14,Amsterdam,Netherlands,"Derkinderenstraat 69-3, Amsterdam, Netherlands",52.3649677,4.8400592,postjesweg,1 badkamer en 1 apart toilet,,Natuurlijke ventilatie en TV kabel,1 woonlaag,3e woonlaag,BWat betekent dit?,Dubbel glas,Cv-ketel,Cv-ketel,Gemeentelijk eigendom belast met erfpacht (einddatum erfpacht: 31-10-2061),Afgekocht tot 31-10-2061,Bovenwoning (appartement),Bestaande bouw,1959,Zadeldak bedekt met pannen,8.0,15.0,235.0,€ 475.000 kosten koper,€ 6.690,14 juni 2025,Beschikbaar,In overleg,"€ 233,43 per maand",B,8.0,15.0,235.0,2025-06-14,233.43,True,True,0.0,2061.0,2061,3.0,,1,1,True
Geuzenkade,73-1,https://www.funda.nl/detail/koop/amsterdam/appartement-geuzenkade-73-1/43918443/,56,375000,6696.43,Amsterdam,Netherlands,"Geuzenkade 73-1, Amsterdam, Netherlands",52.3743075,4.8642334,erasmusbuurt,1 badkamer en 1 apart toilet,,Natuurlijke ventilatie en TV kabel,1 woonlaag,2e woonlaag,Niet verplicht,Dubbel glas,Cv-ketel,Cv-ketel,Gemeentelijk eigendom belast met erfpacht,Afgekocht tot 31-08-2033,Bovenwoning (appartement),Bestaande bouw,1933,Plat dak bedekt met bitumineuze dakbedekking,7.0,5.0,196.0,€ 375.000 kosten koper,€ 6.696,4 weken,,In overleg,"€ 121,02 per maand",Niet verplicht,7.0,5.0,196.0,2025-05-20,121.02,True,True,0.0,2033.0,0,2.0,,1,1,False
Van Spilbergenstraat,74-2,https://www.funda.nl/detail/koop/amsterdam/appartement-van-spilbergenstraat-74-2/43973399/,52,350000,6730.77,Amsterdam,Netherlands,"Van Spilbergenstraat 74-2, Amsterdam, Netherlands",52.3663886,4.8520231,baarsjes,1 badkamer,,Natuurlijke ventilatie en TV kabel,1 woonlaag,2e woonlaag,DWat betekent dit?,Gedeeltelijk dubbel glas,Cv-ketel,Cv-ketel,Gemeentelijk eigendom belast met erfpacht,Afgekocht tot 31-01-2064,Bovenwoning (appartement),Bestaande bouw,1924,Plat dak bedekt met bitumineuze dakbedekking,7.0,,176.0,€ 350.000 kosten koper,€ 6.731,2 maanden,,In overleg,"€ 100,00 per maand",D,7.0,,176.0,2025-04-17,100.0,False,True,0.0,2064.0,0,2.0,,1,1,False
Admiraal De Ruijterweg,274-1,https://www.funda.nl/detail/koop/amsterdam/appartement-admiraal-de-ruijterweg-274-1/43908621/,72,485000,6736.11,Amsterdam,Netherlands,"Admiraal De Ruijterweg 274-1, Amsterdam, Netherlands",52.3794061,4.8567271,bos en lommer,1 apart toilet,,,1 woonlaag,1e woonlaag,Niet beschikbaar,,,,Gemeentelijk eigendom belast met erfpacht,Eeuwigdurend afgekocht,Bovenwoning (appartement),Bestaande bouw,1924,,8.0,,234.0,€ 485.000 kosten koper,€ 6.736,5 weken,,In overleg,"€ 120,71 per maand",Niet beschikbaar,8.0,,234.0,2025-05-13,120.71,False,True,0.0,2099.0,0,1.0,,0,1,False
Dirk Bonsstraat,1/Feb,https://www.funda.nl/detail/koop/amsterdam/appartement-dirk-bonsstraat-2-1/43984257/,48,325000,6770.83,Amsterdam,Netherlands,"Dirk Bonsstraat 2-1, Amsterdam, Netherlands",52.3787857,4.8350573,Unknown,1 badkamer en 1 apart toilet,,TV kabel,1 woonlaag,2e woonlaag,CWat betekent dit?,Dubbel glas,Cv-ketel,Cv-ketel,Gemeentelijke erfpacht,Afgekocht tot 01-11-2054,Bovenwoning (appartement),Bestaande bouw,1953,Plat dak bedekt met bitumineuze dakbedekking,5.0,3.0,144.0,€ 325.000 kosten koper,€ 6.771,7 weken,,In overleg,"€ 183,85 per maand",C,5.0,3.0,144.0,2025-04-29,183.85,True,True,0.0,2054.0,0,2.0,,1,1,False
Nachtwachtlaan,151,https://www.funda.nl/detail/koop/amsterdam/appartement-nachtwachtlaan-151/43902791/,59,400000,6779.66,Amsterdam,Netherlands,"Nachtwachtlaan 151, Amsterdam, Netherlands",52.3617763,4.8439892,baarsjes,1 badkamer en 1 apart toilet,,"Glasvezelkabel, lift, mechanische ventilatie, natuurlijke ventilatie, en TV kabel",1 woonlaag,5e woonlaag,BWat betekent dit?,Dubbel glas,Blokverwarming,Centrale voorziening,Gemeentelijk eigendom belast met erfpacht (einddatum erfpacht: 15-09-2094),Afgekocht tot 15-09-2094,Bovenwoning,Bestaande bouw,1972,Plat dak bedekt met bitumineuze dakbedekking,8.0,16.0,192.0,€ 400.000 kosten koper,€ 6.780,5 weken,,In overleg,"€ 186,00 per maand",B,8.0,16.0,192.0,2025-05-13,186.0,True,True,0.0,2094.0,2094,5.0,,1,1,False
