street_name,number,url,m2,price,price/m2,city,country,full_address,lat,lon,neighborhood,indeling_kamers,indeling_badkamers,indeling_voorzieningen,indeling_woonlagen,indeling_verdieping,indeling_energielabel,indeling_isolatie,indeling_verwarming,indeling_warm_water,kadaster_eigendomssituatie,kadaster_lasten,listing_data_soort_appartement,listing_data_soort_bouw,listing_data_bouwjaar,listing_data_soort_dak,listing_data_gebouwgebonden_buitenruimte_m2,listing_data_externe_bergruimte_m2,listing_data_inhoud_m3,overdracht_vraagprijs,overdracht_prijs_per_m2,overdracht_aangeboden_sinds,overdracht_status,overdracht_aanvaarding,overdracht_servicekosten,energy_label,surface_gebouwgebonden_buitenruimte_m2,surface_externe_bergruimte_m2,surface_inhoud_m3,aangeboden_date,servicekosten_num,has_berging,has_balkon,kadaster_lasten_price,kadaster_lasten_year,eigendom_year,woonlaag_num,num_kamers,num_badkamers,woonlagen_num,beschikbaar
Spaarndammerstraat,8-d,https://www.funda.nl/detail/koop/amsterdam/appartement-spaarndammerstraat-8-d/43065543/,58,475000,8189.66,Amsterdam,Netherlands,"Spaarndammerstraat 8-d, Amsterdam, Netherlands",52.3866638,4.882376,spaarndammerbuurt,1 badkamer en 1 apart toilet,,Douche en wastafelmeubel,2 woonlagen,,DWat betekent dit?,"Dubbel glas, HR-glas en vloerisolatie",Cv-ketel,Cv-ketel,Gemeentelijk eigendom belast met erfpacht,Afgekocht tot 31-12-2045,Bovenwoning (appartement),Bestaande bouw,1912,Samengesteld dak,3.0,,195.0,€ 475.000 kosten koper,€ 8.190,Vandaag,Beschikbaar,In overleg,"€ 150,00 per maand",D,3.0,,195.0,2025-06-17,150.0,False,True,0.0,2045.0,0,,,1,,True
Houtmankade,41-2,https://www.funda.nl/detail/koop/amsterdam/appartement-houtmankade-41-2/43935637/,58,475000,8189.66,Amsterdam,Netherlands,"Houtmankade 41-2, Amsterdam, Netherlands",52.3889678,4.8853463,houthavens,1 badkamer,,TV kabel,1 woonlaag,2e woonlaag,CWat betekent dit?,Dubbel glas,Cv-ketel,Cv-ketel,Volle eigendom,,Bovenwoning (appartement),Bestaande bouw,1882,Plat dak,9.0,11.0,192.0,€ 475.000 kosten koper,€ 8.190,3 weken,Beschikbaar,In overleg,,C,9.0,11.0,192.0,2025-05-27,,True,True,,,9999,2.0,,1,1,True
Antillenstraat,38-h,https://www.funda.nl/detail/koop/amsterdam/appartement-antillenstraat-38-h/43053755/,61,500000,8196.72,Amsterdam,Netherlands,"Antillenstraat 38-h, Amsterdam, Netherlands",52.3598845,4.8505896,baarsjes,1 badkamer,,Mechanische ventilatie en TV kabel,1 woonlaag,Begane grond,DWat betekent dit?,,Cv-ketel,Cv-ketel,Volle eigendom,,Benedenwoning (appartement),Bestaande bouw,1935,Samengesteld dak bedekt met pannen,,7.0,229.0,€ 500.000 kosten koper,€ 8.197,13 juni 2025,Beschikbaar,In overleg,"€ 60,00 per maand",D,,7.0,229.0,2025-06-13,60.0,True,False,,,9999,0.0,,1,1,True
Amstelveenseweg,118-2,https://www.funda.nl/detail/koop/amsterdam/appartement-amstelveenseweg-118-2/43929464/,61,500000,8196.72,Amsterdam,Netherlands,"Amstelveenseweg 118-2, Amsterdam, Netherlands",52.3551315,4.8550503,Unknown,1 badkamer en 1 apart toilet,,Mechanische ventilatie en TV kabel,1 woonlaag,3e woonlaag,Niet verplicht,,Cv-ketel,Cv-ketel,Gemeentelijke erfpacht (einddatum erfpacht: 31-05-2029),"€ 63,98 per jaar",Bovenwoning (appartement),Bestaande bouw,1955,Plat dak,4.0,,203.0,€ 500.000 kosten koper,€ 8.197,3 weken,Beschikbaar,Per direct beschikbaar,"€ 154,79 per maand",Niet verplicht,4.0,,203.0,2025-05-27,154.79,False,True,63.98,,2029,3.0,,1,1,True
Spuistraat,3-f7,https://www.funda.nl/detail/koop/amsterdam/appartement-spuistraat-3-f7/43941351/,61,500000,8196.72,Amsterdam,Netherlands,"Spuistraat 3-f7, Amsterdam, Netherlands",52.3771015,4.8943686,centrum,1 badkamer en 1 apart toilet,,Lift en TV kabel,1 woonlaag,2e woonlaag,Niet beschikbaar,Muurisolatie,Blokverwarming,Centrale voorziening,Volle eigendom,,Bovenwoning,Bestaande bouw,1765,Zadeldak bedekt met pannen,,,202.0,€ 500.000 kosten koper,€ 8.197,5 juni 2025,Beschikbaar,In overleg,"€ 433,00 per maand",Niet beschikbaar,,,202.0,2025-06-05,433.0,False,False,,,9999,2.0,,1,1,True
Pieter Van Der Doesstraat,44-1,https://www.funda.nl/detail/koop/amsterdam/appartement-pieter-van-der-doesstraat-44-1/43917469/,59,485000,8220.34,Amsterdam,Netherlands,"Pieter Van Der Doesstraat 44-1, Amsterdam, Netherlands",52.3727355,4.8583635,erasmusbuurt,1 badkamer,,"Inloopdouche, toilet, en wastafelmeubel",1 woonlaag,1e woonlaag,CWat betekent dit?,"Dubbel glas, HR-glas en vloerisolatie",Cv-ketel,Cv-ketel,Volle eigendom,,Bovenwoning (appartement),Bestaande bouw,1932,Plat dak bedekt met bitumineuze dakbedekking,5.0,,203.0,€ 485.000 kosten koper,€ 8.220,4 weken,,In overleg,"€ 110,08 per maand",C,5.0,,203.0,2025-05-20,110.08,False,True,,,9999,1.0,,1,1,False
Jan Evertsenstraat,571,https://www.funda.nl/detail/koop/amsterdam/appartement-jan-evertsenstraat-571/43920192/,45,370000,8222.22,Amsterdam,Netherlands,"Jan Evertsenstraat 571, Amsterdam, Netherlands",52.3695257,4.83645,slotervaart,1 badkamer en 1 apart toilet,,,1 woonlaag,8e woonlaag,AWat betekent dit?,HR-glas en volledig geïsoleerd,Stadsverwarming,Centrale voorziening,Gemeentelijk eigendom belast met erfpacht (einddatum erfpacht: 29-02-2056),Afgekocht tot 29-02-2056,Bovenwoning (appartement),Bestaande bouw,2008,Plat dak bedekt met bitumineuze dakbedekking,4.0,,145.0,€ 370.000 kosten koper,€ 8.222,3 weken,Beschikbaar,In overleg,"€ 110,67 per maand",A,4.0,,145.0,2025-05-27,110.67,False,True,0.0,2056.0,2056,8.0,,1,1,True
Jan Evertsenstraat,571,https://www.funda.nl/detail/koop/amsterdam/appartement-jan-evertsenstraat-571/43920192/,45,370000,8222.22,Amsterdam,Netherlands,"Jan Evertsenstraat 571, Amsterdam, Netherlands",52.3695257,4.83645,slotervaart,1 badkamer en 1 apart toilet,,,1 woonlaag,8e woonlaag,AWat betekent dit?,HR-glas en volledig geïsoleerd,Stadsverwarming,Centrale voorziening,Gemeentelijk eigendom belast met erfpacht (einddatum erfpacht: 29-02-2056),Afgekocht tot 29-02-2056,Bovenwoning (appartement),Bestaande bouw,2008,Plat dak bedekt met bitumineuze dakbedekking,4.0,,145.0,€ 370.000 kosten koper,€ 8.222,3 weken,Beschikbaar,In overleg,"€ 110,67 per maand",A,4.0,,145.0,2025-05-27,110.67,False,True,0.0,2056.0,2056,8.0,,1,1,True
Jan Evertsenstraat,571,https://www.funda.nl/detail/koop/amsterdam/appartement-jan-evertsenstraat-571/43920192/,45,370000,8222.22,Amsterdam,Netherlands,"Jan Evertsenstraat 571, Amsterdam, Netherlands",52.3695257,4.83645,postjesweg,1 badkamer en 1 apart toilet,,,1 woonlaag,8e woonlaag,AWat betekent dit?,HR-glas en volledig geïsoleerd,Stadsverwarming,Centrale voorziening,Gemeentelijk eigendom belast met erfpacht (einddatum erfpacht: 29-02-2056),Afgekocht tot 29-02-2056,Bovenwoning (appartement),Bestaande bouw,2008,Plat dak bedekt met bitumineuze dakbedekking,4.0,,145.0,€ 370.000 kosten koper,€ 8.222,3 weken,Beschikbaar,In overleg,"€ 110,67 per maand",A,4.0,,145.0,2025-05-27,110.67,False,True,0.0,2056.0,2056,8.0,,1,1,True
Jan Evertsenstraat,571,https://www.funda.nl/detail/koop/amsterdam/appartement-jan-evertsenstraat-571/43920192/,45,370000,8222.22,Amsterdam,Netherlands,"Jan Evertsenstraat 571, Amsterdam, Netherlands",52.3695257,4.83645,slotervaart,1 badkamer en 1 apart toilet,,,1 woonlaag,8e woonlaag,AWat betekent dit?,HR-glas en volledig geïsoleerd,Stadsverwarming,Centrale voorziening,Gemeentelijk eigendom belast met erfpacht (einddatum erfpacht: 29-02-2056),Afgekocht tot 29-02-2056,Bovenwoning (appartement),Bestaande bouw,2008,Plat dak bedekt met bitumineuze dakbedekking,4.0,,145.0,€ 370.000 kosten koper,€ 8.222,3 weken,Beschikbaar,In overleg,"€ 110,67 per maand",A,4.0,,145.0,2025-05-27,110.67,False,True,0.0,2056.0,2056,8.0,,1,1,True
Jan Evertsenstraat,571,https://www.funda.nl/detail/koop/amsterdam/appartement-jan-evertsenstraat-571/43920192/,45,370000,8222.22,Amsterdam,Netherlands,"Jan Evertsenstraat 571, Amsterdam, Netherlands",52.3695257,4.83645,slotervaart,1 badkamer en 1 apart toilet,,,1 woonlaag,8e woonlaag,AWat betekent dit?,HR-glas en volledig geïsoleerd,Stadsverwarming,Centrale voorziening,Gemeentelijk eigendom belast met erfpacht (einddatum erfpacht: 29-02-2056),Afgekocht tot 29-02-2056,Bovenwoning (appartement),Bestaande bouw,2008,Plat dak bedekt met bitumineuze dakbedekking,4.0,,145.0,€ 370.000 kosten koper,€ 8.222,3 weken,Beschikbaar,In overleg,"€ 110,67 per maand",A,4.0,,145.0,2025-05-27,110.67,False,True,0.0,2056.0,2056,8.0,,1,1,True
Jan Evertsenstraat,571,https://www.funda.nl/detail/koop/amsterdam/appartement-jan-evertsenstraat-571/43920192/,45,370000,8222.22,Amsterdam,Netherlands,"Jan Evertsenstraat 571, Amsterdam, Netherlands",52.3695257,4.83645,postjesweg,1 badkamer en 1 apart toilet,,,1 woonlaag,8e woonlaag,AWat betekent dit?,HR-glas en volledig geïsoleerd,Stadsverwarming,Centrale voorziening,Gemeentelijk eigendom belast met erfpacht (einddatum erfpacht: 29-02-2056),Afgekocht tot 29-02-2056,Bovenwoning (appartement),Bestaande bouw,2008,Plat dak bedekt met bitumineuze dakbedekking,4.0,,145.0,€ 370.000 kosten koper,€ 8.222,3 weken,Beschikbaar,In overleg,"€ 110,67 per maand",A,4.0,,145.0,2025-05-27,110.67,False,True,0.0,2056.0,2056,8.0,,1,1,True
Jan Evertsenstraat,571,https://www.funda.nl/detail/koop/amsterdam/appartement-jan-evertsenstraat-571/43920192/,45,370000,8222.22,Amsterdam,Netherlands,"Jan Evertsenstraat 571, Amsterdam, Netherlands",52.3695257,4.83645,postjesweg,1 badkamer en 1 apart toilet,,,1 woonlaag,8e woonlaag,AWat betekent dit?,HR-glas en volledig geïsoleerd,Stadsverwarming,Centrale voorziening,Gemeentelijk eigendom belast met erfpacht (einddatum erfpacht: 29-02-2056),Afgekocht tot 29-02-2056,Bovenwoning (appartement),Bestaande bouw,2008,Plat dak bedekt met bitumineuze dakbedekking,4.0,,145.0,€ 370.000 kosten koper,€ 8.222,3 weken,Beschikbaar,In overleg,"€ 110,67 per maand",A,4.0,,145.0,2025-05-27,110.67,False,True,0.0,2056.0,2056,8.0,,1,1,True
Jan Evertsenstraat,571,https://www.funda.nl/detail/koop/amsterdam/appartement-jan-evertsenstraat-571/43920192/,45,370000,8222.22,Amsterdam,Netherlands,"Jan Evertsenstraat 571, Amsterdam, Netherlands",52.3695257,4.83645,postjesweg,1 badkamer en 1 apart toilet,,,1 woonlaag,8e woonlaag,AWat betekent dit?,HR-glas en volledig geïsoleerd,Stadsverwarming,Centrale voorziening,Gemeentelijk eigendom belast met erfpacht (einddatum erfpacht: 29-02-2056),Afgekocht tot 29-02-2056,Bovenwoning (appartement),Bestaande bouw,2008,Plat dak bedekt met bitumineuze dakbedekking,4.0,,145.0,€ 370.000 kosten koper,€ 8.222,3 weken,Beschikbaar,In overleg,"€ 110,67 per maand",A,4.0,,145.0,2025-05-27,110.67,False,True,0.0,2056.0,2056,8.0,,1,1,True
Charlotte De Bourbonstraat,3/Jan,https://www.funda.nl/detail/koop/amsterdam/appartement-charlotte-de-bourbonstraat-1-3/43054063/,48,395000,8229.17,Amsterdam,Netherlands,"Charlotte De Bourbonstraat 1-3, Amsterdam, Netherlands",52.3809283,4.8595434,bos en lommer,2 kamers (1 slaapkamer),,Natuurlijke ventilatie,1 woonlaag,3e woonlaag,GWat betekent dit?,Dubbel glas,Cv-ketel,Cv-ketel,,,Bovenwoning (appartement),Bestaande bouw,1937,Plat dak bedekt met bitumineuze dakbedekking,3.0,14.0,159.0,€ 395.000 kosten koper,€ 8.229,Vandaag,Beschikbaar,In overleg,,G,3.0,14.0,159.0,2025-06-17,,True,True,,,,3.0,2,0,1,True
Kinkerstraat,212-1,https://www.funda.nl/detail/koop/amsterdam/appartement-kinkerstraat-212-1/43939135/,48,395000,8229.17,Amsterdam,Netherlands,"Kinkerstraat 212-1, Amsterdam, Netherlands",52.3658327,4.8664182,amsterdam-west,1 badkamer,,Mechanische ventilatie en TV kabel,1 woonlaag,1e woonlaag,CWat betekent dit?,Gedeeltelijk dubbel glas,"Cv-ketel, elektrische verwarming en gedeeltelijke vloerverwarming",Cv-ketel,Volle eigendom,,Bovenwoning (appartement),Bestaande bouw,1906,Plat dak bedekt met bitumineuze dakbedekking,5.0,15.0,184.0,€ 395.000 kosten koper,€ 8.229,2 weken,Beschikbaar,In overleg,"€ 150,05 per maand",C,5.0,15.0,184.0,2025-06-03,150.05,True,True,,,9999,1.0,,1,1,True
Jacob Van Lennepkade,195-1,https://www.funda.nl/detail/koop/amsterdam/appartement-jacob-van-lennepkade-195-1/43999407/,48,395000,8229.17,Amsterdam,Netherlands,"Jacob Van Lennepkade 195-1, Amsterdam, Netherlands",52.3626639,4.8632255,amsterdam-west,1 badkamer,,TV kabel,1 woonlaag,3e woonlaag,EWat betekent dit?,Gedeeltelijk dubbel glas,,,Volle eigendom,,Tussenverdieping (appartement),Bestaande bouw,1900,,5.0,,160.0,€ 395.000 kosten koper,€ 8.229,6 weken,Beschikbaar,In overleg,"€ 91,95 per maand",E,5.0,,160.0,2025-05-06,91.95,False,True,,,9999,3.0,,1,1,True
Theophilusstraat,13-3,https://www.funda.nl/detail/koop/amsterdam/appartement-theophilusstraat-13-3/43945502/,48,395000,8229.17,Amsterdam,Netherlands,"Theophilusstraat 13-3, Amsterdam, Netherlands",52.3790204,4.8529577,bos en lommer,2 kamers (1 slaapkamer),,,1 woonlaag,3e woonlaag,AWat betekent dit?,,Cv-ketel,Cv-ketel,Gemeentelijk eigendom belast met erfpacht (einddatum erfpacht: 15-08-2064),"€ 21,37 per jaar",Bovenwoning (appartement),Bestaande bouw,1940,,8.0,7.0,163.0,€ 395.000 kosten koper,€ 8.229,2 weken,Beschikbaar,In overleg,"€ 143,15 per maand",A,8.0,7.0,163.0,2025-06-03,143.15,True,True,21.37,,2064,3.0,2,0,1,True
Blancefloorstraat,1/May,https://www.funda.nl/detail/koop/amsterdam/appartement-blancefloorstraat-5-1/43970185/,54,445000,8240.74,Amsterdam,Netherlands,"Blancefloorstraat 5-1, Amsterdam, Netherlands",52.3772896,4.8557538,bos en lommer,1 badkamer,,"Douche, inloopdouche, toilet, en wastafelmeubel",1 woonlaag,1e woonlaag,Niet beschikbaar,,Cv-ketel,Cv-ketel,Gemeentelijk eigendom belast met erfpacht,"€ 934,54 per jaar met optie tot afkopen",Bovenwoning (appartement),Bestaande bouw,1939,,7.0,,175.0,€ 445.000 kosten koper,€ 8.241,2 maanden,,In overleg,"€ 125,00 per maand",Niet beschikbaar,7.0,,175.0,2025-04-17,125.0,False,True,934.54,,0,1.0,,1,1,False
Bos En Lommerweg,140-3,https://www.funda.nl/detail/koop/amsterdam/appartement-bos-en-lommerweg-140-3/43937100/,58,479000,8258.62,Amsterdam,Netherlands,"Bos En Lommerweg 140-3, Amsterdam, Netherlands",52.3811782,4.8549727,bos en lommer,1 badkamer en 1 apart toilet,,Natuurlijke ventilatie,1 woonlaag,,CWat betekent dit?,,Cv-ketel,Cv-ketel,Gemeentelijk eigendom belast met erfpacht (einddatum erfpacht: 31-12-2055),Afgekocht tot 31-12-2055,Bovenwoning (appartement),Bestaande bouw,1934,Plat dak bedekt met bitumineuze dakbedekking,7.0,12.0,192.0,€ 479.000 kosten koper,€ 8.259,3 weken,Beschikbaar,In overleg,"€ 166,00 per maand",C,7.0,12.0,192.0,2025-05-27,166.0,True,True,0.0,2055.0,2055,,,1,1,True
Jan Evertsenstraat,126-1,https://www.funda.nl/detail/koop/amsterdam/appartement-jan-evertsenstraat-126-1/43906600/,58,480000,8275.86,Amsterdam,Netherlands,"Jan Evertsenstraat 126-1, Amsterdam, Netherlands",52.3704871,4.8520322,erasmusbuurt,1 badkamer,,"Douche, toilet, wastafel, en wastafelmeubel",1 woonlaag,1e woonlaag,BWat betekent dit?,Dubbel glas,Cv-ketel,Cv-ketel,Volle eigendom,,Bovenwoning (appartement),Bestaande bouw,1925,,13.0,,146.0,€ 480.000 kosten koper,€ 8.276,6 weken,,In overleg,,B,13.0,,146.0,2025-05-06,,False,True,,,9999,1.0,,1,1,False
Gibraltarstraat,86-2,https://www.funda.nl/detail/koop/amsterdam/appartement-gibraltarstraat-86-2/43979108/,47,390000,8297.87,Amsterdam,Netherlands,"Gibraltarstraat 86-2, Amsterdam, Netherlands",52.3845589,4.8493949,bos en lommer,1 badkamer en 1 apart toilet,,Douche en wastafel,1 woonlaag,3e woonlaag,FWat betekent dit?,Gedeeltelijk dubbel glas,Cv-ketel,Cv-ketel,Gemeentelijke erfpacht (einddatum erfpacht: 01-09-2061),Afgekocht tot 01-09-2061,Bovenwoning (appartement),Bestaande bouw,,Samengesteld dak bedekt met bitumineuze dakbedekking en overig,5.0,9.0,154.0,€ 390.000 kosten koper,€ 8.298,2 maanden,Beschikbaar,In overleg,"€ 137,92 per maand",F,5.0,9.0,154.0,2025-04-17,137.92,True,True,0.0,2061.0,2061,3.0,,1,1,True
