street,lat,lon,neighborhood,district,city,postcode,display_name
Brandslangstraat,52.3684619,4.9547813,Oost,Amsterdam,North Holland,1019 VP,"Brandslangstraat, Eastern Docklands, Oost, Amsterdam, North Holland, Netherlands, 1019 VP, Netherlands"
R.J.H. Fortuynplein,52.3714449,4.9470997,Borneo-eiland,Eastern Docklands,Oost,1019 WL,"1, R.J.H. Fortuynplein, Borneo-eiland, Eastern Docklands, Oost, Schellingwoude, Amsterdam, North Holland, Netherlands, 1019 WL, Netherlands"
Oostenburgermiddenstraat,52.3729264,4.9293898,Oostelijke Eilanden,Centrum,Amsterdam,1018 LB,"Oostenburgermiddenstraat, Oostenburg, Oostelijke Eilanden, Centrum, Amsterdam, North Holland, Netherlands, 1018 LB, Netherlands"
Eef Kamerbeekstraat,52.3737033,4.9638656,Sportheldenbuurt,Zeeburgereiland,Oost,1095 MP,"1, Eef Kamerbeekstraat, Sportheldenbuurt, Zeeburgereiland, Oost, Schellingwoude, Amsterdam, North Holland, Netherlands, 1095 MP, Netherlands"
John Blankensteinstraat,52.3758346,4.96473,John Blankensteinstraat,Sportheldenbuurt,Zeeburgereiland,1095 MB,"Huisartsenpraktijk Zeeburgereiland, 1A, John Blankensteinstraat, Sportheldenbuurt, Zeeburgereiland, Oost, Schellingwoude, Amsterdam, North Holland, Netherlands, 1095 MB, Netherlands"
Purperhoedenveem,52.3763869,4.9259306,Oost,Amsterdam,North Holland,1019 HE,"Purperhoedenveem, Eastern Docklands, Oost, Amsterdam, North Holland, Netherlands, 1019 HE, Netherlands"
Sumatrakade,52.3776238,4.9363176,Java-eiland,Eastern Docklands,Oost,1019 BJ,"1, Sumatrakade, Java-eiland, Eastern Docklands, Oost, Amsterdam, North Holland, Netherlands, 1019 BJ, Netherlands"
Veemkade,52.3786934,4.9126365,Oost,Amsterdam,North Holland,1019 BR,"Veemkade, Eastern Docklands, Oost, Amsterdam, North Holland, Netherlands, 1019 BR, Netherlands"
Westerdok,52.38332575,4.891134599999999,Centrum,Amsterdam,North Holland,1013 AZ,"1, Westerdok, Centrum, Amsterdam, North Holland, Netherlands, 1013 AZ, Netherlands"
Westerdoksdijk,52.3835614,4.8927366,Centrum,Amsterdam,North Holland,1013 AD,"1, Westerdoksdijk, Centrum, Amsterdam, North Holland, Netherlands, 1013 AD, Netherlands"
Ceramiquelaan,52.385701,4.9010156,Overhoeks,Noord,Amsterdam,1031 KC,"1, Céramiquelaan, Overhoeks, Noord, Amsterdam, North Holland, Netherlands, 1031 KC, Netherlands"
Sausalitolaan,52.3860964,4.9034996,Overhoeks,Noord,Amsterdam,1031 KB,"1, Sausalitolaan, Overhoeks, Noord, Amsterdam, North Holland, Netherlands, 1031 KB, Netherlands"
Hammarbystraat,52.3865362,4.9027465,Noord,Amsterdam,North Holland,1031 KD,"Hammarbystraat, Overhoeks, Noord, Amsterdam, North Holland, Netherlands, 1031 KD, Netherlands"
Spadinalaan,52.3871647,4.9036283,Noord,Amsterdam,North Holland,1031 KE,"Spadinalaan, Overhoeks, Noord, Amsterdam, North Holland, Netherlands, 1031 KE, Netherlands"
Grasweg,52.3904981,4.8987851,Buiksloterham,Noord,Amsterdam,1031 HW,"41Z-1, Grasweg, Buiksloterham, Noord, Amsterdam, North Holland, Netherlands, 1031 HW, Netherlands"
Pontsteiger,52.3935004,4.8858263,Houthaven,West,Amsterdam,1014 ZP,"1, Pontsteiger, Houthaven, West, Amsterdam, North Holland, Netherlands, 1014 ZP, Netherlands"
tt Vasumweg,52.4038068,4.8947913,Cornelis Douwesterrein,Noord,Amsterdam,1033 SC,"32M-1, tt. Vasumweg, Cornelis Douwesterrein, Noord, Amsterdam, North Holland, Netherlands, 1033 SC, Netherlands"
Tt. Vasumweg,52.4038068,4.8947913,Cornelis Douwesterrein,Noord,Amsterdam,1033 SC,"32M-1, tt. Vasumweg, Cornelis Douwesterrein, Noord, Amsterdam, North Holland, Netherlands, 1033 SC, Netherlands"
ms. Oslofjordweg,52.4043207,4.8901047,Noord,Amsterdam,North Holland,1033 SL,"ms. Oslofjordweg, Cornelis Douwesterrein, Noord, Amsterdam, North Holland, Netherlands, 1033 SL, Netherlands"
mt. Lincolnweg,52.4048081,4.8899592,Cornelis Douwesterrein,Noord,Amsterdam,1033 SN,"14S-1, mt. Lincolnweg, Cornelis Douwesterrein, Noord, Amsterdam, North Holland, Netherlands, 1033 SN, Netherlands"
Kraanspoor,52.4056223,4.8897079,Cornelis Douwesterrein,Noord,Amsterdam,1033 SC,"1, Kraanspoor, Cornelis Douwesterrein, Noord, Amsterdam, North Holland, Netherlands, 1033 SC, Netherlands"
J.p. Kloosstraat,52.406063,4.9316068,Noord,Amsterdam,North Holland,1022 KD,"J.P. Kloosstraat, Elzenhagen-Noord, Noord, Amsterdam, North Holland, Netherlands, 1022 KD, Netherlands"
Moestuin,52.4080213,4.9005363,Amsterdam,North Holland,Netherlands,1036 KC,"Moestuinlaan, Noord, Amsterdam, North Holland, Netherlands, 1036 KC, Netherlands"
de Schoener,52.718479,6.8567648,Emmen,Drenthe,Netherlands,7833 DR,"Schoener, Nieuw-Amsterdam, Emmen, Drenthe, Netherlands, 7833 DR, Netherlands"
Anton Philipslaan,,,,,,,
Anton Wachterstraat,,,,,,,
Bellevuelaan,,,,,,,
Bergschot,,,,,,,
