python_file,url,full_adres,city,price,area,num_rooms,available
amstel_properties.py,https://amstel-property.com/woningen/joris-ivensplein-114-e-amsterdam-90743814e08a09190c4a96a57d0bd078aa5175/,Joris Ivensplein 114 E in Amsterdam,Amsterdam,,28.0,1.0,Onder bod
amstel_properties.py,https://amstel-property.com/woningen/pretoriusstraat-91-1-amsterdam-907438f903041a7ed9468bba996079719c7274/,Pretoriusstraat 91 1 in Amsterdam,Amsterdam,,64.0,3.0,Verkocht
amstel_properties.py,https://amstel-property.com/woningen/stolwijkstraat-3-hs-amsterdam-90743817099ab85b664341a4672101bd2d5eb7/,Stolwijkstraat 3 HS in Amsterdam,Amsterdam,,57.0,2.0,Verkocht
amstel_properties.py,https://amstel-property.com/woningen/spuistraat-3-f3-amsterdam-907438e0086d132b2c4b75aca6b3a2c04cc0d9/,Spuistraat 3 F3 in Amsterdam,Amsterdam,,54.0,2.0,Verkocht
amstel_properties.py,https://amstel-property.com/woningen/wittgensteinlaan-232-pp-amsterdam-907438377d95242eb146a49e95857ca249e161/,Wittgensteinlaan 232 PP in Amsterdam,Amsterdam,,92.0,3.0,Verkocht
amstel_properties.py,https://amstel-property.com/woningen/nienke-van-hichtumstraat-31-amsterdam-9074384977a06b7bab4390974dbb1f5ad2ad0c/,Nienke van Hichtumstraat 31 in Amsterdam,Amsterdam,,93.0,4.0,Verkocht
amstel_properties.py,https://amstel-property.com/woningen/entrepotdok-63-b-amsterdam-907438ee376cef7aad45f1bbcc861b9cb03eb8/,Entrepotdok 63 B in Amsterdam,Amsterdam,,88.0,3.0,Verkocht
amstel_properties.py,https://amstel-property.com/woningen/brenner-39-amsterdam-9074389c78b195a2a14525a8ed711e0050afce/,Brenner 39 in Amsterdam,Amsterdam,,127.0,5.0,Verkocht
amstel_properties.py,https://amstel-property.com/woningen/eerste-looiersdwarsstraat-10-b-amsterdam-907438d163bfa983d840d0af82b08dd01376d3/,Eerste Looiersdwarsstraat 10 B in Amsterdam,Amsterdam,,59.0,4.0,Verkocht
amstel_properties.py,https://amstel-property.com/woningen/tweede-oosterparkstraat-209-c-amsterdam-9074384a359fd004404628b03dec22eb4e66fb/,Tweede Oosterparkstraat 209 C in Amsterdam,Amsterdam,,103.0,3.0,Verkocht
amstel_properties.py,https://amstel-property.com/woningen/pieter-van-der-werfstraat-211-amsterdam-907438dd1319dcab154dc4a6116b456f5d89b7/,Pieter van der Werfstraat 211 in Amsterdam,Amsterdam,,140.0,5.0,Verkocht
amstel_properties.py,https://amstel-property.com/woningen/wittgensteinlaan-253-amsterdam-907438cc7543a96c764c25aaf7d33c57dfd398/,Wittgensteinlaan 253 in Amsterdam,Amsterdam,,87.0,3.0,Verkocht
amstredam_at_home.py,https://www.makelaaramsterdam.nl/objecten/radarweg-324/,Radarweg 324 in Amsterdam,Amsterdam,1650000.0,216.0,6.0,Beschikbaar
amstredam_at_home.py,https://www.makelaaramsterdam.nl/objecten/nieuwezijds-voorburgwal-45/,Nieuwezijds Voorburgwal 45 in Amsterdam,Amsterdam,1300000.0,170.0,5.0,Beschikbaar
amstredam_at_home.py,https://www.makelaaramsterdam.nl/objecten/tweede-van-der-helststraat-22-1/,Tweede Van der Helststraat 22 1 in Amsterdam,Amsterdam,1100000.0,114.0,3.0,Beschikbaar
amstredam_at_home.py,https://www.makelaaramsterdam.nl/objecten/utrechtsedwarsstraat-160/,Utrechtsedwarsstraat 160 in Amsterdam,Amsterdam,1100000.0,105.0,3.0,Beschikbaar
amstredam_at_home.py,https://www.makelaaramsterdam.nl/objecten/groenmarktkade-1-1/,Groenmarktkade 1 1 in Amsterdam,Amsterdam,725000.0,73.0,2.0,Beschikbaar
amstredam_at_home.py,https://www.makelaaramsterdam.nl/objecten/tweede-oosterparkstraat-39-c/,Tweede Oosterparkstraat 39 C in Amsterdam,Amsterdam,600000.0,60.0,3.0,Beschikbaar
amstredam_at_home.py,https://www.makelaaramsterdam.nl/objecten/albert-cuypstraat-163-3/,Albert Cuypstraat 163 3 in Amsterdam,Amsterdam,600000.0,65.0,3.0,Beschikbaar
amstredam_at_home.py,https://www.makelaaramsterdam.nl/objecten/windroosplein-134/,Windroosplein 134 in Amsterdam,Amsterdam,525000.0,77.0,3.0,Beschikbaar
amstredam_at_home.py,https://www.makelaaramsterdam.nl/objecten/erich-salomonstraat-154/,Erich Salomonstraat 154 in Amsterdam,Amsterdam,525000.0,84.0,3.0,Beschikbaar
amstredam_at_home.py,https://www.makelaaramsterdam.nl/objecten/olympiaweg-107-1/,Olympiaweg 107 1 in Amsterdam,Amsterdam,495000.0,47.0,3.0,Beschikbaar
apollo.py,https://www.apollomakelaardij.nl/property/van-boshuizenstraat-405-amsterdam/,"Van Boshuizenstraat 405, 1082 AP Amsterdam, Nederland",Amsterdam,475000.0,73.0,2.0,Beschikbaar
apollo.py,https://www.apollomakelaardij.nl/property/johan-van-der-keukenstraat-79k-amsterdan/,"Johan van der Keukenstraat 79K, 1087 BC Amsterdam, Nederland",Amsterdam,330000.0,46.0,2.0,Beschikbaar
apollo.py,https://www.apollomakelaardij.nl/property/spyridon-louisweg-103-amsterdam/,"Spyridon Louisweg 103, 1034 WR Amsterdam, Nederland",Amsterdam,1150000.0,197.0,6.0,Beschikbaar
apollo.py,https://www.apollomakelaardij.nl/property/insulindeweg-7a-amsterdam/,"Insulindeweg 7III, 1094 LE Amsterdam, Nederland",Amsterdam,695000.0,97.0,,Beschikbaar
apollo.py,https://www.apollomakelaardij.nl/property/elckerlijcstraat-167-amsterdam/,"Elckerlijcstraat 167, 1055 AK Amsterdam, Nederland",Amsterdam,635000.0,93.0,4.0,Beschikbaar
apollo.py,https://www.apollomakelaardij.nl/property/eerste-atjehstraat-156-4-amsterdam/,"Eerste Atjehstraat 156, 4, 1094 KW Amsterdam, Nederland",Amsterdam,445000.0,47.0,2.0,Beschikbaar
apollo.py,https://www.apollomakelaardij.nl/property/oudezijds-voorburgwal-160c-amsterdam/,"Oudezijds Voorburgwal 160-C, 1012 GH Amsterdam, Nederland",Amsterdam,635000.0,77.0,2.0,Beschikbaar
apollo.py,https://www.apollomakelaardij.nl/property/haarlemmermeerstraat-130-3-amsterdam/,"Haarlemmermeerstraat 130, 3, 1058 Amsterdam, Nederland",Amsterdam,1095000.0,122.0,4.0,Beschikbaar
apollo.py,https://www.apollomakelaardij.nl/property/courbetstraat-7-1-amsterdam/,"Courbetstraat 7, 1, 1077 ZP Amsterdam, Nederland",Amsterdam,815000.0,113.0,5.0,Beschikbaar
apollo.py,https://www.apollomakelaardij.nl/property/van-hallstraat-43h-amsterdam/,"Van Hallstraat 43II, 1051 GX Amsterdam, Nederland",Amsterdam,415000.0,43.0,2.0,Beschikbaar
apollo.py,https://www.apollomakelaardij.nl/property/diamantstraat-26-2-amsterdam/,"Diamantstraat 26, 2, 1074 GD Amsterdam, Nederland",Amsterdam,665000.0,80.0,3.0,Beschikbaar
