python_file,url,full_adres,city,price,area,num_rooms,available,street,number_extension,full_address_processed,full_address_streets,latitude,longitude
aardenhout.py,https://aardenhoutmakelaardij.nl/?portfolio=eerste-jan-van-der-heijdenstraat-44-1,Eerste Jan van der Heijdenstraat 44-1,Amsterdam,,77.0,0.0,Verkocht,Eerste Jan van der Heijdenstraat,44-1,Eerste Jan van der Heijdenstraat 44-1 Amsterdam,Eerste Jan van der Heijdenstraat Amsterdam,52.3529939,4.8883803
aardenhout.py,https://aardenhoutmakelaardij.nl/?portfolio=eerste-jan-van-der-heijdenstraat-32-h,Eerste Jan van der Heijdenstraat 32-H,Amsterdam,,88.0,0.0,Verkocht,Eerste Jan van der Heijdenstraat,32-H,Eerste Jan van der Heijdenstraat 32-H Amsterdam,Eerste Jan van der Heijdenstraat Amsterdam,52.3529094,4.8878245
aardenhout.py,https://aardenhoutmakelaardij.nl/?portfolio=brouwersgracht-169-4,Brouwersgracht 169-4,Amsterdam,,78.0,,Verkocht onder voorbehoud,Brouwersgracht,169-4,Brouwersgracht 169-4 Amsterdam,Brouwersgracht Amsterdam,52.3820517,4.8851158
aardenhout.py,https://aardenhoutmakelaardij.nl/?portfolio=rooseveltlaan-8-2,Rooseveltlaan 8-2,Amsterdam,900000.0,,0.0,Beschikbaar,Rooseveltlaan,8-2,Rooseveltlaan 8-2 Amsterdam,Rooseveltlaan Amsterdam,52.3454485,4.9023921
add.py,https://www.addmakelaardij.nl/woningaanbod/koop/amsterdam/vespuccistraat/99-1?forsaleorrent=0&pricerange.maxprice=500000&take=10,"Vespuccistraat 99-1, 1056SK Amsterdam",1056SK Amsterdam,485000.0,59.0,3.0,Beschikbaar,Vespuccistraat,99-1,Vespuccistraat 99-1 1056SK Amsterdam,Vespuccistraat 1056SK Amsterdam,52.3725388,4.8525948
add.py,https://www.addmakelaardij.nl/woningaanbod/koop/amsterdam/akerwateringstraat/73-ref-00256?forsaleorrent=0&pricerange.maxprice=500000&take=10,"Akerwateringstraat 73, 1069GB Amsterdam",1069GB Amsterdam,395000.0,98.0,4.0,Onder bod,Akerwateringstraat,73,Akerwateringstraat 73 1069GB Amsterdam,Akerwateringstraat 1069GB Amsterdam,52.3546164,4.7850401
add.py,https://www.addmakelaardij.nl/woningaanbod/koop/amsterdam/ruiseveenpad/88?forsaleorrent=0&pricerange.maxprice=500000&take=10,"Ruiseveenpad 88, 1106AN Amsterdam",1106AN Amsterdam,340000.0,71.0,3.0,Beschikbaar,Ruiseveenpad,88,Ruiseveenpad 88 1106AN Amsterdam,Ruiseveenpad 1106AN Amsterdam,52.2970856,4.9760556
aemestelle.py,https://www.aemestelle.nl/woningen/reizigersweg-35-amsterdam-937350b490de27c7c54e84b71fcd0030517960/,Reizigersweg 35 in Amsterdam,Amsterdam,,67.0,3.0,Beschikbaar,Reizigersweg,35,Reizigersweg 35 Amsterdam,Reizigersweg Amsterdam,52.4195016,4.8838542
aemestelle.py,https://www.aemestelle.nl/woningen/schinkelkade-58-h-amsterdam-937350423f514f99234e6dadb62b8aa48f2cd9/,Schinkelkade 58 H in Amsterdam,Amsterdam,,75.0,3.0,Beschikbaar,Schinkelkade,58 H,Schinkelkade 58 H Amsterdam,Schinkelkade Amsterdam,52.3504201,4.8526417
aemestelle.py,https://www.aemestelle.nl/woningen/vatternkade-51-amsterdam-937350726c628bec7a47069378758ddb16ace6/,Vatternkade 51 in Amsterdam,Amsterdam,,111.0,4.0,Beschikbaar,Vatternkade,51,Vatternkade 51 Amsterdam,Vatternkade Amsterdam,52.3496708,4.7810562
