full_address_processed,latitude,longitude
Tegenhouderstraat 61 Amsterdam,52.4067337,4.8974751
Sausalitolaan 14 Amsterdam,52.3867946,4.90369
Groenhoven 265 Amsterdam,52.3246288,4.9767652
Pieter van der Doesstraat 36-I Amsterdam,52.3730409,4.8581489
Badhuiskade 289 Amsterdam,52.3853296,4.9055676
Derde Hugo de Grootstraat 8-H Amsterdam,52.3736813,4.8729493
Tweede Jan v/d Heijdenstr. Amsterdam,52.355834,4.9018868
Tweede Jan v/d Heijdenstraat Amsterdam,52.355834,4.9018868
Commelinstraat 14-O Amsterdam,52.3631973,4.9244553
Zwingliweg 117 Amsterdam,,
Foeliedwarsstraat 54 Amsterdam,52.3705928,4.910724
Maasstraat 138-3 Amsterdam,52.343319,4.8960167
J.G. Waltherhof 59 Almere,52.3684551,5.2039519
Tweede Jan Steenstraat 112-2 Amsterdam,52.3570309,4.9039096
Tweede Oosterparkstraat 219-hs Amsterdam,,
Baarsstraat 10-I Amsterdam,52.3505354,4.85433
De Savornin Lohmanlaan 22 Amsterdam,,
Lumeijstraat 46-2 Amsterdam,52.3737366,4.8611565
Admiralengracht 48-1 Amsterdam,52.3664888,4.8583058
Nieuwe Prinsengracht 86-2 Amsterdam,52.3637571,4.9092099
Oudezijds Achterburgwal 117 Amsterdam,52.3723758,4.8980453
Sloterkade 89 III Amsterdam,52.3529099,4.8526774
Ruyschstraat 77 H Amsterdam,52.3580526,4.9118986
Molenbeekstraat 33-1 Amsterdam,52.3437366,4.8948385
Leeuwendalersweg 13-A Amsterdam,52.3793141,4.8463883
Nico Jessekade 239 Amsterdam,52.3454536,5.0090308
Aalsmeerweg 71-4 Amsterdam,52.3488116,4.8487272
Admiraal de Ruijterweg 139-I Amsterdam,52.3716403,4.8595858
Wittenkade 33-II Amsterdam,52.3841037,4.8788615
Keizersgracht 26-E Amsterdam,52.3789252,4.888764
Van Nijenrodeweg 423 Amsterdam,52.3275384,4.8773267
Admiraal de Ruijterweg Amsterdam,52.3716403,4.8595858
Spuistraat 72 Amsterdam,52.3757647,4.8917542
Albert Cuypstraat 201-4 Amsterdam,52.3560609,4.8952591
Ferguutstraat 10-hs Amsterdam,52.3775335,4.8550195
Ottho Heldringstraat 35-E Amsterdam,52.3484436,4.8334379
Henegouwselaan 89 Amstelveen,52.3202675,4.8669566
Sluisstraat 4-H Amsterdam,52.352645,4.8556375
Kanaalstraat 69-H Amsterdam,52.3623636,4.8645512
Veerstraat 38-1 Amsterdam,52.3516141,4.8543
Torreslaan 11 Utrecht 3526EZ,52.0651106,5.098961
Teldershof 62 Amsterdam 1067ML,52.3799683,4.8002994
Von Guerickestraat 70 Amsterdam 1097RB,52.3438105,4.9247733
Ir G Friedhoffplein 16 Zandvoort 2042BP,52.3667765,4.5236389
Professor J.H. Gunningstraat 91 Amsterdam 1068MS,52.3532605,4.8032298
Logger 308 1186RZ Amstelveen,52.2827946,4.860053
Singel 99A 1012VG Amsterdam,52.3758801,4.891339
Zijlweg 2 2051BB Overveen,52.3881669,4.6077044
Oudezijds Achterburgwal 173D 1012DJ Amsterdam,52.3709591,4.8966802
Populierenlaan 403 1185SR Amstelveen,52.2927737,4.8450463
Plantage Parklaan 30 3 Amsterdam 1018 SW,52.3686537,4.9109781
Matrozenhof 37 Amsterdam 1018 ZP,52.3697767,4.9154268
Thomas a Kempislaan 6 Amstelveen 1185 CC,52.2942105,4.8620795
Tugelastraat 35 Haarlem 2021 TA,52.3944523,4.6440586
Frederik Hendrikstraat 96 4 Amsterdam 1052 HZ,52.3759361,4.8732038
Wedderborg 27 Amsterdam 1082 SV,52.3340663,4.8738185
Martin Luther Kinglaan 482 Diemen 1111 LT,52.3456198,4.9626218
Rustenburgerstraat 300 A Amsterdam 1073 GM,52.3520792,4.8953184
Lijnbaansgracht 341 D Amsterdam 1017 XA,52.3600966,4.8932033
Waldenlaan 225 Amsterdam 1093 NH,52.3582195,4.9339517
Balistraat 35-2 Amsterdam,52.3631602,4.9332935
Eisdenstraat 38 Amsterdam,52.3502882,4.8166692
Filips van Almondestraat 11-2 Amsterdam,52.369976,4.8583522
Borneostraat 25-3 Amsterdam,52.3645955,4.9372873
Willem Augustinstraat 314 Amsterdam,52.3753918,4.8373375
Noorderstraat 83B Amsterdam,52.3611814,4.8947477
Linnaeusstraat 31D Amsterdam,52.3622622,4.9242743
Amstelveenseweg 20 Amsterdam,52.3561723,4.8546255
Chet Bakerstraat 5 Amsterdam,52.3445567,4.824726
Aalsmeerweg 62 2 Amsterdam,52.3490981,4.8484301
Orteliusstraat 174 2 Amsterdam,52.3693712,4.8497406
Kanaalstraat 170 1 Amsterdam,52.3612527,4.8591463
Beemsterstraat 370 Amsterdam,52.3937718,4.9499486
M.Nijhoffstraat 122 Weesp,52.3128718,5.037945
Voc-Kade 66 Amsterdam,52.3721202,4.9266462
Beemdgras 24 Wilnis,52.2000294,4.8942558
Aletta Jacobsstraat 57 Assendelft,52.4619219,4.7408792
Middenpad 7 Norg,53.0789815,6.4795572
Zaanstraat 32 Amsterdam,52.3874967,4.8796633
Haarspitstraat 21 Purmerend,52.5072794,4.9811126
Prattenburg 345 Haarlem,52.3522682,4.6515148
