full_address_processed,latitude,longitude
Minahassastraat 14C AMSTERDAM,52.3602144,4.9338957
Jan van Riebeekstraat 5-1 AMSTERDAM,52.3706514,4.8585939
Cas Oorthuyskade 298 AMSTERDAM,52.3608061,4.9911291
Jacob van Lennepkade 390H AMSTERDAM,52.3623522,4.8596909
Derkinderenstraat 69-3 AMSTERDAM,52.3649677,4.8400592
Prinsengracht 843 AMSTERDAM,52.3627247,4.8894265
Jacob van Lennepkade 92B AMSTERDAM,52.3650975,4.8708902
Derde Helmersstraat 78H AMSTERDAM,52.36472,4.8750053
Reinwardtstraat 33A AMSTERDAM,52.3610325,4.9269732
Eerste Helmersstraat 185H AMSTERDAM,52.3616535,4.8685371
Van Ostadestraat 15-2A AMSTERDAM,52.3517241,4.8876752
Van Nijenrodeweg 209 Amsterdam,52.3275802,4.8828857
Baljuwenlaan 26 Amstelveen,52.3214184,4.8609739
Cornelis Trooststraat 39 2 Amsterdam,52.3506299,4.8882747
Slangenburg 78 Amsterdam,52.3298461,4.8734419
Rustenburgerstraat 25 B Amsterdam,52.3537012,4.9051056
Gijsbrecht van IJselsteinstraat 33 Amsterdam,52.3306188,4.8746946
Plantagekade 61 Amsterdam,52.3685812,4.9130635
Singel 286 D Amsterdam,52.3719835,4.888034
Keizersgracht 515 G Amsterdam,52.3651109,4.8887432
Theophile de Bockstraat 45-2 Amsterdam 1058TX,52.354735,4.8488754
Anielewiczsingel 33 Amsterdam 1069NE,52.3532806,4.7769264
Derde Oosterparkstraat 30A Amsterdam 1091JZ,52.3556899,4.914581
Hoofdweg 375-2 Amsterdam 1056CR,52.371759,4.8490945
Beukenplein 12-4 Amsterdam 1091KG,52.3571043,4.9176774
Frans Halsstraat 80A Amsterdam 1072BW,52.3555465,4.8883956
Martin Vlaarkade 45 Amsterdam 1013CS,52.3887426,4.8809711
Blasiusstraat 104B Amsterdam 1091CX,52.3572437,4.9121278
Kanaalstraat 129-4 Amsterdam 1054XD,52.3616039,4.8614035
Nicolaas Beetsstraat 140 H Amsterdam,52.3622608,4.8676195
Van Noordtkade 178 Amsterdam,52.389079,4.8817897
Wijsmullerstraat 51 2 Amsterdam,52.3559177,4.8519733
Floris Versterstraat 10 B Amsterdam,52.3562204,4.851087
W. v.d. Brinkstraat 16 Purmerend,52.5203879,4.9679873
Loosduinenstraat 34 Amsterdam,52.3509454,4.8377961
Wedderborg 125 Amsterdam,52.3333897,4.8732248
Warmondstraat 159 3 Amsterdam,52.3529143,4.849661
Oudezijds Achterburgwal 127 1 Amsterdam,52.3720599,4.8977106
Legmeerstraat 21 H Amsterdam,52.354127,4.8515687
Kinkerstraat 314 3 Amsterdam,52.3650823,4.8632997
Singel 100 A Amsterdam,52.3767516,4.8912705
Potgieterstraat 25 C Amsterdam,52.3695877,4.8742151
Da Costakade 59 H Amsterdam,52.371027,4.8724368
Warmondstraat 109 2 Amsterdam,52.354433,4.8496279
Leimuidenstraat 40 2 Amsterdam,52.3497174,4.8503011
Potgieterstraat 25 B Amsterdam,52.3696056,4.8742002
John Napierstraat 42 Amsterdam,52.3601311,4.9802571
Fokkezeil 123 Amsterdam,52.4108019,4.923561
De Wittenstraat 103 4 Amsterdam,52.3824456,4.8776211
Bennebroekstraat 27 1 Amsterdam,52.3527581,4.8469473
Balistraat 83 F Amsterdam,52.3632576,4.9353185
Binnenkant 26 2 Amsterdam,52.3734729,4.9047292
Vierwindenstraat 209 Amsterdam,52.3875515,4.8862141
Bilderdijkkade 58 C Amsterdam,52.3673264,4.8699439
Maria Austriastraat 154 Amsterdam,52.3565595,4.9951891
Wilhelminastraat 52 3 Amsterdam,52.3621883,4.8653303
Frans van Mierisstraat 54 1 Amsterdam,52.3542276,4.8804841
Theophile de Bockstraat 45 H Amsterdam,52.3547346,4.8488753
Bestevaerstraat 8 2 Amsterdam,52.3726367,4.8603913
Hoofddorpplein 17 2 Amsterdam,52.3508922,4.8497291
Diezestraat 22 H Amsterdam,52.3455302,4.8917364
President Kennedylaan 148 H Amsterdam,52.3406722,4.9058628
Prinseneiland 9 2RA Amsterdam,52.385841,4.8876581
Louis Chrispijnstraat 3 Amsterdam,52.3544787,4.8265379
In de Houtzaagmolen 79 Duivendrecht,52.3338438,4.9448625
Van Oldenbarneveldtstraat 98 1 Amsterdam,52.3738267,4.8734759
Potgieterstraat 19 H Amsterdam,52.3696683,4.8744202
Legmeerstraat 38 1 Amsterdam,52.3536584,4.851237
Nieuwe Leliestraat 8 1 Amsterdam,52.3759826,4.883672
Wagengouw 10 in Broek Waterland,52.4308819,4.9982124
Eerste Jan Steenstraat 68 H Amsterdam,52.3538449,4.8899562
Legmeerstraat 15 1 Amsterdam,52.354298,4.8515522
Amelandstraat 15 Amsterdam,52.3937708,4.9260016
Aalsmeerweg 52 2 Amsterdam,52.3493328,4.8486913
Kinkerstraat 292 C Amsterdam,52.365211,4.8639442
Potgieterstraat 12 H Amsterdam,52.3698205,4.8739623
Haparandaweg 800 Amsterdam,52.3948357,4.877556
Waddenweg 16 Amsterdam,52.3914626,4.9264076
Eerste Jan Steenstraat 75 Amsterdam,52.3540415,4.8895721
Van Spilbergenstraat 39 H Amsterdam,52.3656066,4.8519881
Lumeijstraat 32 2 Amsterdam,52.3732247,4.8612507
Fahrenheitsingel 30 Amsterdam,52.343166,4.9230914
Warmondstraat 163 3 Amsterdam,52.3528063,4.8496623
Admiraal De Ruijterweg 104 3 Amsterdam,52.3725695,4.8594231
Silodam 346 Amsterdam,52.3925319,4.890434
Tweede Schinkelstraat 45 H Amsterdam,52.3530947,4.8539009
Jacob Marisstraat 3 1 Amsterdam,52.3537989,4.8524977
Woestduinstraat 143 2 Amsterdam,52.3500118,4.8478322
Jacob Marisstraat 3 Amsterdam,52.3570535,4.8528221
Woestduinstraat 65 2 Amsterdam,52.3527,4.848005
Cabotstraat 26 H Amsterdam,52.3680704,4.8541608
Warmelo 10 Amsterdam,52.3311957,4.8583946
Abbenesstraat 10 H Amsterdam,52.3482119,4.8471639
Lomanstraat 82 4 Amsterdam,52.3510573,4.8585079
Jacob Marisplein 32 Amsterdam,52.3547678,4.8520897
Da Costakade 89 A2 Amsterdam,52.3698052,4.8725388
Admiraal De Ruijterweg 531 1 Amsterdam,52.3842783,4.8469892
't Hol 10 Amsterdam,52.3747525,4.8924971
Aalsmeerweg 29 2 Amsterdam,52.3500922,4.8496952
Van Tuyll van Serooskerkenweg 68 3 Amsterdam,52.3447086,4.8616031
Galastraat 299 Amsterdam,52.4081324,4.9058876
Alexanderkade 12 4 Amsterdam,52.3637427,4.9211898
Willemsparkweg 187 1 Amsterdam,52.3556922,4.8699867
Nedersticht 70 Amsterdam,52.3309509,4.8858968
Nicolaas Witsenkade 47 D Amsterdam,52.358231,4.8983768
Cliostraat 29 I Amsterdam,52.3474445,4.8753346
Apollolaan 185 H Amsterdam,52.3501954,4.8688326
Galastraat 297 Amsterdam,52.4081537,4.9059718
Schubertstraat 54 Amsterdam,52.3461712,4.8775969
Da Costakade 124 1 Amsterdam,52.3687075,4.8722871
Schouwenselaan 63 Amstelveen,52.3143775,4.8647554
Wilhelminastraat 170 2 Amsterdam,52.3608603,4.8598263
Loosduinenstraat 36 Amsterdam,52.3509364,4.8377962
Van Breestraat 112 2 Amsterdam,52.3560647,4.8729769
Gustav Mahlerlaan 527 D Amsterdam,52.3365105,4.8721876
Westhove 39 Amstelveen,52.2788641,4.8178944
Bos en Lommerweg 31 2 Amsterdam,52.3841762,4.8561561
Galastraat 159 Amsterdam,52.4089693,4.9052808
Saxen-Weimarlaan 12 A H Amsterdam,52.3539427,4.8564585
Overtoom 201 1 Amsterdam,52.3613206,4.8704643
Rubensstraat 8 2 Amsterdam,52.3497656,4.87327
Reyer Anslostraat 14 4 Amsterdam,52.3583395,4.8602237
Sint Willibrordusstraat 48 2 Amsterdam,52.3541973,4.9010487
Valeriusstraat 27 B Amsterdam,52.3550288,4.8724458
Valeriusstraat 20 H Amsterdam,52.3552723,4.8725897
Burgemeester Haspelslaan 350 Amstelveen,52.3094103,4.8680635
Max Havelaarlaan 575 Amstelveen,52.3070318,4.8761933
Gijsbrecht van IJselsteinstraat 177 Amsterdam,52.3306134,4.8713938
Ceintuurbaan 147 3 Amsterdam,52.353295,4.8936462
Gustav Mahlerlaan 319 Amsterdam,52.3364497,4.875468
Van der Boechorststraat 64 Amsterdam,52.3266695,4.8615672
Nassaukade 161 C Amsterdam,52.3710259,4.8740872
Stoombootweg 98 Amsterdam,52.4174051,4.9048827
Bernissestraat 10 A Amsterdam,52.3424032,4.8983898
Schovenstraat 15 Amsterdam,52.3391869,4.9420051
Van Nijenrodeweg 181 Amsterdam,52.3276346,4.8830027
Reyer Anslostraat 11 1 Amsterdam,52.3584541,4.8604127
Maasstraat 101 1 Amsterdam,52.3439604,4.8959429
Kerkstraat 84 A Amsterdam,52.3646432,4.8865315
Evert Cornelisstraat 7 2 Amsterdam,52.3430623,4.8757105
Van Breestraat 118 2 Amsterdam,52.3560098,4.8727427
Tweede Weteringplantsoen 15 Amsterdam,52.3590443,4.8930686
Olympiakade 48 - II Amsterdam,52.3472477,4.8584696
Rentmeesterslaan 78 Amstelveen,52.3203857,4.861753
Bolestein 796 Amsterdam,52.3242687,4.8593073
Bloemgracht 138 2 Amsterdam,52.3744341,4.8788582
Tweede Anjeliersdwarsstraat 10 B Amsterdam,52.3777255,4.8814051
Gustav Mahlerlaan 379 Amsterdam,52.3364809,4.875303
Van Breestraat 144 2 Amsterdam,52.3557087,4.8717186
Wilhelminastraat 156 3 Amsterdam,52.3609794,4.8602946
Saxenburgerdwarsstraat 15 Amsterdam,52.358514,4.8617478
Bolestein 206 Amsterdam,52.3261107,4.8592121
Gustav Mahlerlaan 391 Amsterdam,52.3364808,4.8753481
Kerkstraat 303 M Amsterdam,52.3626297,4.8950108
Rosy Wertheimstraat 93 Amsterdam,52.3360915,4.8764003
Van Hogendorpstraat 124 III Amsterdam,52.3818661,4.8668441
Johannes Verhulststraat 124 H Amsterdam,52.3542488,4.8707667
Cooperatiehof 26 III Amsterdam,52.3505735,4.8995188
Zeelandiahoeve 88 Amstelveen,52.2817436,4.8242858
Selde Rust 2 Amstelveen,52.3127313,4.8683894
Venetiehof 201 Amsterdam,52.3769275,4.9471335
Hertzstraat 29 Amsterdam,52.3480945,4.9423561
IJdoornlaan 1493 G Amsterdam,52.407727,4.9176608
Schoolstraat 24 Amsterdam,52.358559,4.8617618
Molenweg 22 Amstelveen,52.3084448,4.8486682
Bickerswerf 33 Amsterdam,52.3854278,4.8899103
Overtoom 481 3 Amsterdam,52.3582642,4.8581694
Geulstraat 12 1 Amsterdam,52.3449227,4.8926241
Rijnstraat 159 1 Amsterdam,52.3426178,4.9068987
Grevelingenstraat 4 2r Amsterdam,52.3459795,4.8895602
Stolwijkstraat 46 H Amsterdam,52.3501666,4.848271
Gerard Doustraat 182 H Amsterdam,52.3563841,4.8953883
Woestduinstraat 37 3 Amsterdam,52.3536255,4.8480066
Anton Verheijstraat 1 2 Amsterdam,52.3434415,4.8761168
Vechtstraat 183 H Amsterdam,52.3409081,4.908619
Rijnstraat 46 3 Amsterdam,52.3470393,4.9046351
Vrijheidslaan 95 4 Amsterdam,52.3459439,4.9048811
Amsterdam – Sarphatistraat 490 Amsterdam,52.3610179,4.9063758
Welnastraat 487 Amsterdam,52.3387687,4.9206942
Brouwersgracht 115C Amsterdam,52.3809495,4.8871552
Bobeldijk 19 Berkhout,52.6552549,5.0170123
Leeuwendalersweg 15E Amsterdam,52.3793137,4.8463876
Witte de Withstraat 134-3 Amsterdam,52.3699268,4.8593371
Deymanstraat 16-2 Amsterdam,52.3576799,4.908791
Nieuwe Teertuinen 16R Amsterdam,52.3859842,4.8853199
Meervalweg 23 Landsmeer,52.4286644,4.9078954
Rooseveltlaan 26-2 Amsterdam,52.3452756,4.9018801
Daniel Stalpertstraat 15-2 Amsterdam,52.356443,4.8877985
Bolkstraat 2-2 Amsterdam,52.3458737,4.9348789
Blasiusstraat 56-3 Amsterdam,52.3565863,4.9095808
Eerste Ceramstraat 3-2 Amsterdam,52.3633582,4.9404559
Omval 379 Amsterdam,52.3447026,4.9157693
Marcusstraat 86 Amsterdam,52.3517209,4.9132289
Zeeburgerdijk 598 Amsterdam,52.366023,4.9444101
Eerste Oosterparkstraat 39-4 Amsterdam,52.3559541,4.908604
Omval 411 Amsterdam,52.3446576,4.9157404
Zevenblad 72 Uithoorn,52.2477287,4.8175015
Bankastraat 55E Amsterdam,52.3649423,4.9339946
Silodam 142 Amsterdam,52.3908405,4.8911038
Vrolikstraat 349K Amsterdam,52.357016,4.9204091
Het Breed 811 Amsterdam,52.3979157,4.9356995
Jan van Galenstraat 111D Amsterdam,52.3746369,4.8594862
Narva-Eiland 129 Amsterdam,52.3932995,4.8814179
Diezestraat 6-2 Amsterdam,52.3460608,4.891804
Brouwersgracht 633 Amsterdam,52.3826084,4.88414
Amstel 192E Amsterdam,52.3664784,4.8998571
Keizersgracht 351A Amsterdam,52.3690135,4.8849552
Ruysdaelkade 193-4 Amsterdam,52.3518656,4.8869004
Marcantilaan 407 Amsterdam 1051 NL,52.3736207,4.8674722
Gerard Doustraat 83 D Amsterdam 1072 VN,52.3558216,4.8918274
Amsteldijk 54 2 Amsterdam 1074 HX,52.354299,4.906229
Van Beuningenstraat 154 2 Amsterdam 1051 XW,52.3819692,4.8733521
Brouwersgracht 121 1 Amsterdam 1015 GE,52.3811457,4.8867859
Van Hogendorpstraat 141 3 Amsterdam 1051 BM,52.3830133,4.8738395
Eerste Jan van der Heijdenstraat 38 2V Amsterdam 1072 TV,52.3529297,4.8881169
Nassaukade 328 2 Amsterdam 1053 LT,52.3685158,4.8757837
Sluisstraat 28 1 Amsterdam 1075 TG,52.3523798,4.8547018
Leusdenhof 153 Amsterdam 1108 DD,52.3079951,4.9781686
Robert Scottstraat 52 2 Amsterdam 1056 BA,52.3748089,4.8458419
Karel Doormanstraat 114 3 Amsterdam 1055 VG,52.3802235,4.8586704
Millingenhof 204 Amsterdam 1106 KM,52.2961699,4.9686757
Kramatweg 55 B Amsterdam 1095 JW,52.3617323,4.9455371
Kantershof 594 Amsterdam 1104 HG,52.3165933,4.9877835
Esther de Boer-van Rijkstraat 132 2 Amsterdam 1065 GS,52.3530943,4.8264818
Schalkwijkpad 97 Amsterdam 1107 JP,52.2941666,4.9792339
Sleewijkstraat 54 Amsterdam 1107 TW,52.2903418,4.972644
Oude Waal 37 A 3 Amsterdam 1011 CD,52.3722963,4.904947
Liendenhof 166 Amsterdam 1108 HK,52.308238,4.9834744
Eerste Goudsbloemdwarsstraat 14 A 1 Amsterdam 1015 JW,52.3809873,4.8854658
Zeeburgerkade 766 Amsterdam 1019 HT,52.3692433,4.9448016
Potvisstraat 56 Amsterdam 1035 HL,52.4230883,4.8861209
Petrus Blokhof 12 1 Amsterdam 1065 XK,52.3633278,4.8295239
Bloys van Treslongstraat 6 1 Amsterdam 1056 XA,52.3759793,4.8622312
Vianenstraat 113 Amsterdam 1106 DC,52.2987686,4.9845719
Amsterdam – Amstel 192C Amsterdam,52.3467291,4.917139
Johannes Verhulststraat 62-1 Amsterdam,52.355126,4.874118
Gerard Doustraat 90-1 Amsterdam,52.355688,4.8921371
Utrechtsedwarsstraat 17 A Amsterdam,52.3612282,4.8974059
Reigersweide 117 Weesp,52.2989448,5.0462779
Willemsparkweg 102 B Amsterdam,52.3568481,4.8733054
Laurierstraat 20 H Amsterdam,52.3725606,4.8820952
Nieuwevaartweg 61 Amsterdam,52.3677116,4.9537256
Orteliusstraat 352 H Amsterdam,52.3744731,4.8470797
Vossiusstraat 76 Amsterdam,52.3596541,4.8759785
Gutserstraat 59 Amsterdam,52.4070962,4.8939583
Hoofdweg 793 Amsterdam,52.3769135,4.8461391
Willemsparkweg 36 Amsterdam,52.3577065,4.8764516
Keizersgracht 412 C Amsterdam,52.3685872,4.884035
Tweede Oosterparkstraat 221 Amsterdam,52.3587045,4.9223292
Eerste Constantijn Huygensstraat 82-3 Amsterdam,52.3632442,4.8746404
Nassaukade 360 H Amsterdam,52.3661859,4.8773813
Prinsengracht 814 F Amsterdam,52.3620009,4.8995395
Uithoornstraat 11-1 Amsterdam,52.3475635,4.9097364
Nicolaas Witsenkade 48 A Amsterdam,52.358264,4.8984587
Herengracht 331 Amsterdam,52.3696252,4.8871948
Ruysdaelstraat 64 H Amsterdam,52.3539219,4.8824104
Transvaalstraat 31 H Amsterdam,52.3553147,4.9266952
Winterdijkstraat 6-1 Amsterdam,52.3436509,4.9045689
Frederiksplein 32 E Amsterdam,52.3608347,4.8978345
Spaarndammerstraat 123-1 Amsterdam,52.3908424,4.8780972
Amstelveenseweg 214-3 Amsterdam,52.3511912,4.8562567
Cabotstraat 21-3 Amsterdam,52.36813,4.8555993
Churchill-laan 195-2 Amsterdam,52.3469547,4.8885217
Kerkstraat 11 C Amsterdam,52.3661642,4.8844296
Maasstraat 130-2 Amsterdam,52.3434713,4.8958832
Nieuwe Keizersgracht 31 H Amsterdam,52.3656064,4.9063561
Tilanusstraat 73 H Amsterdam,52.3590384,4.913488
Arubastraat 3-2 Amsterdam,52.3600436,4.8540958
Palmgracht 4-1 Amsterdam,52.3823671,4.8844367
Ceintuurbaan 203-3 Amsterdam,52.3552073,4.9019036
Lomanstraat 61 H Amsterdam,52.3510164,4.8593562
Hectorstraat 32-1 Amsterdam,52.3442847,4.8654383
Nieuwevaartweg 47 Amsterdam,52.3677121,4.9538625
Insulindeweg 57 C Amsterdam,52.3614254,4.9356454
Johannes Worpstraat 51-1 Amsterdam,52.3419952,4.8659788
Tweede Hugo de Grootstraat 42-4 Amsterdam,52.3749425,4.8720497
Utrechtsedwarsstraat 126 H Amsterdam,52.3617642,4.900966
Geuzenkade 60-3 Amsterdam,52.3736437,4.8644759
IJdok 103 Amsterdam,52.3844082,4.8949119
Admiraal De Ruijterweg 126 H Amsterdam,52.3732519,4.8592243
Geuzenkade 71-2 Amsterdam,52.3742087,4.8642639
Lindewetering 13 Abcoude,52.2654295,4.968178
Fort Rhijnauwenstraat 70 Weesp,52.3216129,5.038501
Marnixstraat 48 1R Amsterdam,52.3809572,4.8805163
Olympiaweg 87 A Amsterdam,52.3471151,4.861193
Eerste Goudsbloemdwarsstraat 6-1 Amsterdam,52.3811669,4.8854197
Valeriusstraat 179 H Amsterdam,52.3520127,4.861091
Van Breestraat 183 A Amsterdam,52.354852,4.8693783
Gerrit van der Veenstraat 58-2 Amsterdam,52.3490505,4.8783273
Kribbestraat 59-2 Amsterdam,52.3408711,4.9039683
Willemsparkweg 64 H Amsterdam,52.3573506,4.8751491
Geuzenstraat 41 H Amsterdam,52.3718645,4.8645554
Helmholtzstraat 68-1 Amsterdam,52.3491211,4.9403644
Newtonstraat 5-1 Amsterdam,52.3549224,4.9367244
Herengracht 88 A Amsterdam,52.3767615,4.8893466
Hondecoeterstraat 14 A Amsterdam,52.3540011,4.8783933
Linnaeusparkweg 116-1 Amsterdam,52.3527977,4.9357772
Baarsjesweg 144 C Amsterdam,52.3687393,4.8631979
Jacob Obrechtstraat 24-2 Amsterdam,52.3561727,4.8750745
Barentszstraat 232 Amsterdam,52.3888287,4.8864347
Maanzaaderf 24 Diemen,52.3349033,4.9495363
Waverstraat 2-1 Amsterdam,52.3464101,4.9112163
Van Eeghenstraat 18-2 Amsterdam,52.3583083,4.8763566
Jacob Catskade 52-3 Amsterdam,52.3816068,4.8768223
Van Breestraat 73 C Amsterdam,52.3563098,4.8748733
