street_name,number,url,m2,price,price/m2,city,country,full_address,lat,lon
Van Beuningenstraat,1-a,https://www.funda.nl/detail/koop/amsterdam/appartement-van-beuningenstraat-1-a/43056390/,57,425000.0,7456.14,Amsterdam,Netherlands,"Van Beuningenstraat 1-a, Amsterdam, Netherlands",52.3852654,4.8791307
Johannes Meewisstraat,50-3,https://www.funda.nl/detail/koop/amsterdam/appartement-johannes-meewisstraat-50-3/43056083/,57,360000.0,6315.79,Amsterdam,Netherlands,"Johannes Meewisstraat 50-3, Amsterdam, Netherlands",52.3842786,4.8353859
Van Beuningenstraat,154-2,https://www.funda.nl/detail/koop/amsterdam/appartement-van-beuningenstraat-154-2/43056405/,38,350000.0,9210.53,Amsterdam,Netherlands,"Van Beuningenstraat 154-2, Amsterdam, Netherlands",52.3819692,4.8733521
Nachtwachtlaan,442,https://www.funda.nl/detail/koop/amsterdam/appartement-nachtwachtlaan-442/43055875/,59,425000.0,7203.39,Amsterdam,Netherlands,"Nachtwachtlaan 442, Amsterdam, Netherlands",52.3635816,4.8434826
Bartholomeus Diazstraat,3-1,https://www.funda.nl/detail/koop/amsterdam/appartement-bartholomeus-diazstraat-3-1/43055478/,47,425000.0,9042.55,Amsterdam,Netherlands,"Bartholomeus Diazstraat 3-1, Amsterdam, Netherlands",52.3702141,4.8552659
De Rijpgracht,27-1,https://www.funda.nl/detail/koop/amsterdam/appartement-de-rijpgracht-27-1/43944997/,52,450000.0,8653.85,Amsterdam,Netherlands,"De Rijpgracht 27-1, Amsterdam, Netherlands",52.3770991,4.8614102
Palmgracht,23-2,https://www.funda.nl/detail/koop/amsterdam/appartement-palmgracht-23-2/43943968/,45,425000.0,9444.44,Amsterdam,Netherlands,"Palmgracht 23-2, Amsterdam, Netherlands",52.381997,4.8841177
Da Costakade,174-1a,https://www.funda.nl/detail/koop/amsterdam/appartement-da-costakade-174-1a/43943557/,35,375000.0,10714.29,Amsterdam,Netherlands,"Da Costakade 174-1a, Amsterdam, Netherlands",52.3673634,4.8732277
Hoofdweg,285-3,https://www.funda.nl/detail/koop/amsterdam/appartement-hoofdweg-285-3/43942990/,57,499000.0,8754.39,Amsterdam,Netherlands,"Hoofdweg 285-3, Amsterdam, Netherlands",52.3682566,4.8516917
Esmoreitstraat,41-2,https://www.funda.nl/detail/koop/amsterdam/appartement-esmoreitstraat-41-2/43942614/,53,425000.0,8018.87,Amsterdam,Netherlands,"Esmoreitstraat 41-2, Amsterdam, Netherlands",52.3778714,4.8512233
Van Spilbergenstraat,121-3,https://www.funda.nl/detail/koop/amsterdam/appartement-van-spilbergenstraat-121-3/43941878/,50,450000.0,9000.0,Amsterdam,Netherlands,"Van Spilbergenstraat 121-3, Amsterdam, Netherlands",52.3679564,4.8509173
Derde Hugo De Grootstraat,20-1,https://www.funda.nl/detail/koop/amsterdam/appartement-derde-hugo-de-grootstraat-20-1/43941643/,46,430000.0,9347.83,Amsterdam,Netherlands,"Derde Hugo De Grootstraat 20-1, Amsterdam, Netherlands",52.3737688,4.8725661
Nassaukade,302-1,https://www.funda.nl/detail/koop/amsterdam/appartement-nassaukade-302-1/43949452/,45,425000.0,9444.44,Amsterdam,Netherlands,"Nassaukade 302-1, Amsterdam, Netherlands",52.369662,4.8747869
Kanaalstraat,170-1,https://www.funda.nl/detail/koop/amsterdam/appartement-kanaalstraat-170-1/43948133/,53,500000.0,9433.96,Amsterdam,Netherlands,"Kanaalstraat 170-1, Amsterdam, Netherlands",52.3612527,4.8591463
Rombout Hogerbeetsstraat,18-h,https://www.funda.nl/detail/koop/amsterdam/appartement-rombout-hogerbeetsstraat-18-h/43948820/,49,460000.0,9387.76,Amsterdam,Netherlands,"Rombout Hogerbeetsstraat 18-h, Amsterdam, Netherlands",52.3779073,4.8736635
Bos En Lommerplein,210,https://www.funda.nl/detail/koop/amsterdam/appartement-bos-en-lommerplein-210/43946009/,80,500000.0,6250.0,Amsterdam,Netherlands,"Bos En Lommerplein 210, Amsterdam, Netherlands",52.3780973,4.8455812
Eerste Kostverlorenkade,10-1,https://www.funda.nl/detail/koop/amsterdam/appartement-eerste-kostverlorenkade-10-1/43946778/,64,475000.0,7421.88,Amsterdam,Netherlands,"Eerste Kostverlorenkade 10-1, Amsterdam, Netherlands",52.3791479,4.8735905
Rozengracht,212-1,https://www.funda.nl/detail/koop/amsterdam/appartement-rozengracht-212-1/43945759/,35,350000.0,10000.0,Amsterdam,Netherlands,"Rozengracht 212-1, Amsterdam, Netherlands",52.3726648,4.8770723
Jan Den Haenstraat,32-c,https://www.funda.nl/detail/koop/amsterdam/appartement-jan-den-haenstraat-32-c/43934650/,55,475000.0,8636.36,Amsterdam,Netherlands,"Jan Den Haenstraat 32-c, Amsterdam, Netherlands",52.3786911,4.8614305
Van Walbeeckstraat,107-h,https://www.funda.nl/detail/koop/amsterdam/appartement-van-walbeeckstraat-107-h/43932245/,64,500000.0,7812.5,Amsterdam,Netherlands,"Van Walbeeckstraat 107-h, Amsterdam, Netherlands",52.3630484,4.8507413
Louise De Colignystraat,36-h,https://www.funda.nl/detail/koop/amsterdam/appartement-louise-de-colignystraat-36-h/43930647/,55,475000.0,8636.36,Amsterdam,Netherlands,"Louise De Colignystraat 36-h, Amsterdam, Netherlands",52.3808478,4.8574147
Kinkerstraat,212-1,https://www.funda.nl/detail/koop/amsterdam/appartement-kinkerstraat-212-1/43939135/,48,395000.0,8229.17,Amsterdam,Netherlands,"Kinkerstraat 212-1, Amsterdam, Netherlands",52.3658327,4.8664182
Geuzenkade,81-3,https://www.funda.nl/detail/koop/amsterdam/appartement-geuzenkade-81-3/43938547/,56,485000.0,8660.71,Amsterdam,Netherlands,"Geuzenkade 81-3, Amsterdam, Netherlands",52.3747111,4.8640815
Jacob Van Lennepstraat,35-1a,https://www.funda.nl/detail/koop/amsterdam/appartement-jacob-van-lennepstraat-35-1a/43938576/,34,350000.0,10294.12,Amsterdam,Netherlands,"Jacob Van Lennepstraat 35-1a, Amsterdam, Netherlands",52.3666336,4.8748953
Van Beuningenstraat,162-3,https://www.funda.nl/detail/koop/amsterdam/appartement-van-beuningenstraat-162-3/43938461/,51,435000.0,8529.41,Amsterdam,Netherlands,"Van Beuningenstraat 162-3, Amsterdam, Netherlands",52.3819229,4.8730294
Crynssenstraat,66-2,https://www.funda.nl/detail/koop/amsterdam/appartement-crynssenstraat-66-2/43937376/,51,450000.0,8823.53,Amsterdam,Netherlands,"Crynssenstraat 66-2, Amsterdam, Netherlands",52.3633254,4.856347
