adress,location,description,availability,surface_m2,bedrooms,price,url,price_per_m2,lat,lon,date_scraped,is_new,address,neighborhood,preference
,Amsterdam,Amsterdam,Onder optie,104.0,3,2396.0,https://www.wonenbijbouwinvest.nlhttps://www.wonenbijbouwinvest.nl/huuraanbod/26817/woning-fibigerstraat-9,23.03846153846154,,,2025-07-11 05:29:24.664455,False,Fibigerstraat 9,,False
,Amsterdam,Amsterdam,Beschikbaar per 18-08-2025,84.0,2,1700.0,https://www.wonenbijbouwinvest.nlhttps://www.wonenbijbouwinvest.nl/huuraanbod/26816/woning-geervliet-72,20.238095238095237,,,2025-07-11 05:29:24.664455,False,Geervliet 72,,False
,Amsterdam,Amsterdam,Beschikbaar per 06-08-2025,81.0,2,1619.0,https://www.wonenbijbouwinvest.nlhttps://www.wonenbijbouwinvest.nl/huuraanbod/26805/woning-geervliet-177,19.987654320987655,,,2025-07-11 05:29:24.664455,False,Geervliet 177,,False
,Amsterdam,Amsterdam,Beschikbaar per 01-08-2025,61.0,2,1475.0,https://www.wonenbijbouwinvest.nlhttps://www.wonenbijbouwinvest.nl/huuraanbod/26794/woning-pierre-lallementstraat-658,24.18032786885246,,,2025-07-11 05:29:24.664455,False,Pierre Lallementstraat 658,,False
,Amsterdam,Amsterdam,Onder optie,59.0,2,1396.0,https://www.wonenbijbouwinvest.nlhttps://www.wonenbijbouwinvest.nl/huuraanbod/26792/woning-pierre-lallementstraat-694,23.661016949152543,,,2025-07-11 05:29:24.664455,False,Pierre Lallementstraat 694,,False
,Amsterdam,Amsterdam,Onder optie,91.0,1 slaapkamer,1573.0,https://www.wonenbijbouwinvest.nlhttps://www.wonenbijbouwinvest.nl/huuraanbod/26787/woning-sumatrakade-1167,17.285714285714285,,,2025-07-11 05:29:24.664455,False,Sumatrakade 1167,,False
,Amsterdam,Amsterdam,Onder optie,95.0,0,1583.0,https://www.wonenbijbouwinvest.nlhttps://www.wonenbijbouwinvest.nl/huuraanbod/26777/woning-sint-truidenstraat-17,16.66315789473684,,,2025-07-11 05:29:24.664455,False,Sint-Truidenstraat 17,,False
,Amsterdam,Amsterdam,Beschikbaar per 21-07-2025,81.0,2,1812.0,https://www.wonenbijbouwinvest.nlhttps://www.wonenbijbouwinvest.nl/huuraanbod/26765/woning-hammarbystraat-88,22.37037037037037,,,2025-07-11 05:29:24.664455,False,Hammarbystraat 88,,False
,Amsterdam,Amsterdam,Onder optie,108.0,3,2411.0,https://www.wonenbijbouwinvest.nlhttps://www.wonenbijbouwinvest.nl/huuraanbod/26723/woning-geervliet-243,22.324074074074073,,,2025-07-11 05:29:24.664455,False,Geervliet 243,,False
,Amsterdam,Amsterdam,Per direct beschikbaar,117.0,3,1642.0,https://www.wonenbijbouwinvest.nlhttps://www.wonenbijbouwinvest.nl/huuraanbod/26718/woning-bijlmerdreef-732,14.034188034188034,,,2025-07-11 05:29:24.664455,False,Bijlmerdreef 732,,False
,Amsterdam,Amsterdam,Onder optie,61.0,2,1573.0,https://www.wonenbijbouwinvest.nlhttps://www.wonenbijbouwinvest.nl/huuraanbod/26566/woning-pierre-lallementstraat-856,25.78688524590164,,,2025-07-11 05:29:24.664455,False,Pierre Lallementstraat 856,,False
,Amsterdam,Amsterdam,Per direct beschikbaar,129.0,2,3192.0,https://www.wonenbijbouwinvest.nlhttps://www.wonenbijbouwinvest.nl/huuraanbod/26522/woning-laan-der-hesperiden-86,24.74418604651163,,,2025-07-11 05:29:24.664455,False,Laan der Hesperiden 86,,False
,Amsterdam,Amsterdam,Onder optie,104.0,0,1756.0,https://www.wonenbijbouwinvest.nlhttps://www.wonenbijbouwinvest.nl/huuraanbod/26500/woning-diepenbeekplantsoen-30,16.884615384615383,,,2025-07-11 05:29:24.664455,False,Diepenbeekplantsoen 30,,False
,Amsterdam,Amsterdam,Per direct beschikbaar,59.0,2,1497.0,https://www.wonenbijbouwinvest.nlhttps://www.wonenbijbouwinvest.nl/huuraanbod/26477/woning-pierre-lallementstraat-786,25.372881355932204,,,2025-07-11 05:29:24.664455,False,Pierre Lallementstraat 786,,False
,Amsterdam,Amsterdam,Onder optie,96.0,2,1944.0,https://www.wonenbijbouwinvest.nlhttps://www.wonenbijbouwinvest.nl/huuraanbod/24741/woning-stephensonstraat-8-d,20.25,,,2025-07-11 05:29:24.664455,False,Stephensonstraat 8-D,,False
,Amsterdam,Amsterdam,Beschikbaar per 01-09-2025,74.0,1 slaapkamer,1558.0,https://www.wonenbijbouwinvest.nlhttps://www.wonenbijbouwinvest.nl/huuraanbod/24575/woning-spangenhof-21,21.054054054054053,,,2025-07-11 05:29:24.664455,False,Spangenhof 21,,False
,Amsterdam,Amsterdam,Beschikbaar per 01-08-2025,61.0,2,1475.0,https://www.wonenbijbouwinvest.nlhttps://www.wonenbijbouwinvest.nl/huuraanbod/24470/woning-pierre-lallementstraat-662,24.18032786885246,,,2025-07-11 05:29:24.664455,False,Pierre Lallementstraat 662,,False
,Amsterdam,Amsterdam,Onder optie,66.0,2,1766.0,https://www.wonenbijbouwinvest.nlhttps://www.wonenbijbouwinvest.nl/huuraanbod/22368/woning-oostenburgermiddenstraat-305,26.757575757575758,,,2025-07-11 05:29:24.664455,False,Oostenburgermiddenstraat 305,,False
,Amsterdam,Amsterdam,Beschikbaar per 19-07-2025,77.0,2,1649.0,https://www.wonenbijbouwinvest.nlhttps://www.wonenbijbouwinvest.nl/huuraanbod/21258/woning-haringbuisdijk-709,21.415584415584416,,,2025-07-11 05:29:24.664455,False,Haringbuisdijk 709,,False
