title,address,available_from,price_per_month,surface_m2,bedrooms,link,status,available_from_date,available_from_note,is_available,is_new,is_active,date_scraped
Amstelvlietstraat 503,1096GG Amsterdam,,2337,102,2,https://ikwilhuren.nu/object/amsterdam-1096gg-503-amstelvlietstraat-83d7c08235fc6c79f4502afcc6a5290c/,Te huur,,,TRUE,TRUE,TRUE,07/10/2025
Trompenburgstraat 8 P,1079TX Amsterdam,,2350,95,3,https://ikwilhuren.nu/object/amsterdam-1079tx-8-p-trompenburgstraat-46d7797490e501a2b2933bac28374bb7/,Te huur,,,TRUE,TRUE,TRUE,07/10/2025
Batteryparkstraat 1,1031KH Amsterdam,,2370,103,3,https://ikwilhuren.nu/object/amsterdam-1031kh-1-batteryparkstraat-f4311bc7162c587dee7eb93e8407a5a1/,Te huur,,,TRUE,TRUE,TRUE,07/10/2025
Borssenburgplein 7 2,1078TW Amsterdam,,2414,59,3,https://ikwilhuren.nu/object/amsterdam-1078tw-7-2-borssenburgplein-c5cf5b0a4796bf5eaf8c3f94aabe656a/,Te huur,,,TRUE,TRUE,TRUE,07/10/2025
Gustav Mahlerlaan 875,1082MK Amsterdam,,2485,87,2,https://ikwilhuren.nu/object/amsterdam-1082mk-875-gustav-mahlerlaan-0fdd3e4867886a8845653206c16a023a/,Verhuurd onder voorbehoud,,,FALSE,TRUE,TRUE,07/10/2025
Kinderdijkstraat 110 1,1079GS Amsterdam,,2497,63,3,https://ikwilhuren.nu/object/amsterdam-1079gs-110-1-kinderdijkstraat-dcd599aa62b76384a956b40ac9917e3a/,Verhuurd,,,FALSE,TRUE,TRUE,07/10/2025
Stadionweg 253 2,1076NX Amsterdam,,2550,67,3,https://ikwilhuren.nu/object/amsterdam-1076nx-253-2-stadionweg-fd94dc0ef7c56c80bb6ea0272f93240f/,Verhuurd onder voorbehoud,,,FALSE,TRUE,TRUE,07/10/2025
Gustav Mahlerlaan 853,1082MK Amsterdam,,2560,90,2,https://ikwilhuren.nu/object/amsterdam-1082mk-853-gustav-mahlerlaan-ccfd29875379a18288f25e4126ebf546/,Verhuurd onder voorbehoud,,,FALSE,TRUE,TRUE,07/10/2025
Pontsteiger 262,1014 ZP Amsterdam,"01-09-2025
                                    
Externe link",2842,115,2,https://wonenbijbouwinvest.nl/woningredirect/34101621,Te huur,01/9/2025,Externe link,TRUE,TRUE,TRUE,07/10/2025
Amstelvlietstraat 620,1096GG Amsterdam,,3000,148,3,https://ikwilhuren.nu/object/amsterdam-1096gg-620-amstelvlietstraat-f1b10ba98ac8d0be47ac8f1c34c6a019/,Gereserveerd,,,FALSE,TRUE,TRUE,07/10/2025
Pantograafstraat 84,1019XX Amsterdam,,3104,166,3,https://ikwilhuren.nu/object/amsterdam-1019xx-84-pantograafstraat-9799566e69449c58d113e2f5de5b9e3b/,Verhuurd,,,FALSE,TRUE,TRUE,07/10/2025
Laan der Hesperiden 86,1076 DX Amsterdam,,3192,129,2,https://wonenbijbouwinvest.nl/woningredirect/34334636,Te huur,,,TRUE,TRUE,TRUE,07/10/2025
Davisstraat 24 2,1057TK Amsterdam,,3250,85,3,https://ikwilhuren.nu/object/amsterdam-1057tk-24-2-davisstraat-6d0b474db2b7f94c36e61ecdaa84cc51/,Te huur,,,TRUE,TRUE,TRUE,07/10/2025
Andreasplein 24,1058GD Amsterdam,,3321,166,5,https://ikwilhuren.nu/object/amsterdam-1058gd-24-andreasplein-a368f324db9d3352ed58f30549105a26/,Gereserveerd,,,FALSE,TRUE,TRUE,07/10/2025
Pontsteiger 177,1014 ZP Amsterdam,"28-07-2025
                                    
Externe link",3329,150,3,https://wonenbijbouwinvest.nl/woningredirect/34101545,Te huur,28-07-2025,Externe link,TRUE,TRUE,TRUE,07/10/2025
