location,description,availability,surface_m2,bedrooms,price,url,price_per_m2,lat,lon,date_scraped,is_new,address,neighborhood
Amsterdam,Amsterdam,Onder optie,104,0,1756,https://www.wonenbijbouwinvest.nlhttps://www.wonenbijbouwinvest.nl/huuraanbod/26500/woning-diepenbeekplantsoen-30,16.884615384615383,52.3501097,4.8187996,56:54.3,False,Diepenbeekplantsoen 30,Sloterpolder
Amsterdam,Amsterdam,Per direct beschikbaar,59,2,1497,https://www.wonenbijbouwinvest.nlhttps://www.wonenbijbouwinvest.nl/huuraanbod/26477/woning-pierre-lallementstraat-786,25.372881355932204,52.3497787,4.9225727,56:54.3,False,Pierre Lallementstraat 786,Frankendael
Amsterdam,Amsterdam,Beschikbaar per 22-07-2025,81,2,1812,https://www.wonenbijbouwinvest.nlhttps://www.wonenbijbouwinvest.nl/huuraanbod/24841/woning-hammarbystraat-90,22.37037037037037,52.3865362,4.9027465,56:54.3,False,Hammarbystraat 90,Noord
Amsterdam,Amsterdam,Onder optie,96,2,1944,https://www.wonenbijbouwinvest.nlhttps://www.wonenbijbouwinvest.nl/huuraanbod/24741/woning-stephensonstraat-8-d,20.25,52.3513862,4.922041,56:54.3,False,Stephensonstraat 8-D,Frankendael
Amsterdam,Amsterdam,Beschikbaar per 01-09-2025,74,1 slaapkamer,1558,https://www.wonenbijbouwinvest.nlhttps://www.wonenbijbouwinvest.nl/huuraanbod/24575/woning-spangenhof-21,21.054054054054053,52.3334465,4.8822471,56:54.3,False,Spangenhof 21,Zuidas
Amsterdam,Amsterdam,Beschikbaar per 01-08-2025,61,2,1475,https://www.wonenbijbouwinvest.nlhttps://www.wonenbijbouwinvest.nl/huuraanbod/24470/woning-pierre-lallementstraat-662,24.18032786885246,52.3497787,4.9225727,56:54.3,False,Pierre Lallementstraat 662,Frankendael
Amsterdam,Amsterdam,Onder optie,66,2,1766,https://www.wonenbijbouwinvest.nlhttps://www.wonenbijbouwinvest.nl/huuraanbod/22368/woning-oostenburgermiddenstraat-305,26.75757575757576,52.3729264,4.9293898,56:54.3,False,Oostenburgermiddenstraat 305,Oostelijke Eilanden
Amsterdam,Amsterdam,Beschikbaar per 19-07-2025,77,2,1649,https://www.wonenbijbouwinvest.nlhttps://www.wonenbijbouwinvest.nl/huuraanbod/21258/woning-haringbuisdijk-709,21.415584415584416,52.3638624,4.9813373,56:54.3,False,Haringbuisdijk 709,Steigereiland-Noord
Amsterdam,Amsterdam,Onder optie,43,0,1093,https://www.wonenbijbouwinvest.nlhttps://www.wonenbijbouwinvest.nl/huuraanbod/21004/woning-haringbuisdijk-623,25.41860465116279,52.3638624,4.9813373,56:54.3,False,Haringbuisdijk 623,Steigereiland-Noord
Amsterdam,Amsterdam,Onder optie,117,2,1863,https://www.wonenbijbouwinvest.nlhttps://www.wonenbijbouwinvest.nl/huuraanbod/20701/woning-sumatrakade-863,15.923076923076923,52.3776238,4.9363176,56:54.3,False,Sumatrakade 863,Java-eiland
Amsterdam,Amsterdam,Onder optie,66,2,1705,https://www.wonenbijbouwinvest.nlhttps://www.wonenbijbouwinvest.nl/huuraanbod/20205/woning-tt-vasumweg-40-n5,25.83333333333333,52.4038068,4.8947913,56:54.3,False,Tt. Vasumweg 40-N5,Cornelis Douwesterrein
Amsterdam,Amsterdam,Onder optie,71,2,1746,https://www.wonenbijbouwinvest.nlhttps://www.wonenbijbouwinvest.nl/huuraanbod/20126/woning-tt-vasumweg-40-w3,24.591549295774648,52.4038068,4.8947913,56:54.3,False,Tt. Vasumweg 40-W3,Cornelis Douwesterrein
Amsterdam,Amsterdam,Onder optie,69,1 slaapkamer,1840,https://www.wonenbijbouwinvest.nlhttps://www.wonenbijbouwinvest.nl/huuraanbod/18950/woning-pontsteiger-243,26.666666666666668,52.3935004,4.8858263,56:54.3,False,Pontsteiger 243,Houthaven
